,react,C0C7_num
0,Cc1cc(C)on1,[C:6][c:2]1[cH:3][c:4]([CH3:5])[o:0][n:1]1
1,COC(=O)c1ccno1,[CH3:8][O:7][C:6](=[O:5])[c:4]1[cH:3][cH:2][n:1][o:0]1
2,CCOC(=O)c1cnoc1,[CH3:9][CH2:8][O:7][C:6](=[O:5])[c:3]1[cH:2][n:1][o:0][cH:4]1
3,CCOC(=O)c1ccon1,[CH3:9][CH2:8][O:7][C:6](=[O:5])[c:2]1[cH:3][cH:4][o:0][n:1]1
4,CCOC(=O)c1cnoc1C,[CH3:10][CH2:9][O:8][C:7](=[O:6])[c:3]1[cH:2][n:1][o:0][c:4]1[CH3:5]
5,Cc1ccon1,[CH3:5][c:2]1[cH:3][cH:4][o:0][n:1]1
6,c1ccc(-c2cnoc2)cc1,[cH:10]1[cH:9][cH:8][c:7](-[c:3]2[cH:2][n:1][o:0][cH:4]2)[cH:5][cH:6]1
7,Fc1cccc(F)c1-c1ccno1,[F:12][c:11]1[cH:10][cH:9][cH:8][c:7]([F:6])[c:5]1-[c:4]1[cH:3][cH:2][n:1][o:0]1
8,c1ccc(-c2ccon2)cc1,[cH:10]1[cH:9][cH:8][c:7](-[c:2]2[cH:3][cH:4][o:0][n:1]2)[cH:5][cH:6]1
9,COC(=O)c1cc(-c2cccs2)on1,[CH3:13][O:5][C:6](=[O:12])[c:2]1[cH:3][c:4](-[c:7]2[cH:8][cH:9][cH:10][s:11]2)[o:0][n:1]1
10,Cc1cc(-c2ccccc2)on1,[CH3:11][c:2]1[cH:3][c:4](-[c:10]2[cH:5][cH:6][cH:7][cH:8][cH:9]2)[o:0][n:1]1
11,c1ccc(CN(Cc2ccccc2)c2ccon2)cc1,[cH:5]1[cH:17][cH:16][c:15]([CH2:14][N:13]([CH2:6][c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[c:2]2[cH:3][cH:4][o:0][n:1]2)[cH:18][cH:19]1
12,COC(=O)c1cc(-c2ccco2)on1,[CH3:5][O:6][C:12](=[O:13])[c:2]1[cH:3][c:4](-[c:7]2[cH:8][cH:9][cH:10][o:11]2)[o:0][n:1]1
13,CCOC(=O)c1cc(OC)no1,[CH3:7][CH2:6][O:5][C:11](=[O:10])[c:4]1[cH:3][c:2]([O:8][CH3:9])[n:1][o:0]1
14,c1ccc(CN(Cc2ccccc2)c2ccno2)cc1,[cH:17]1[cH:16][cH:15][c:14]([CH2:13][N:5]([CH2:6][c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[c:4]2[cH:3][cH:2][n:1][o:0]2)[cH:18][cH:19]1
15,Cc1ccno1,[CH3:5][c:4]1[cH:3][cH:2][n:1][o:0]1
16,CCOC(=O)c1cc(C)no1,[CH3:10][CH2:9][O:7][C:6](=[O:5])[c:4]1[cH:3][c:2]([CH3:8])[n:1][o:0]1
17,CCOC(=O)c1cc(C)on1,[CH3:10][CH2:9][O:7][C:6](=[O:5])[c:2]1[cH:3][c:4]([CH3:8])[o:0][n:1]1
18,c1ccc2nocc2c1,[cH:7]1[cH:6][cH:5][c:2]2[n:1][o:0][cH:4][c:3]2[cH:8]1
19,Cc1cc(-n2cccc2)no1,[CH3:5][c:4]1[cH:3][c:2](-[n:6]2[cH:7][cH:8][cH:9][cH:10]2)[n:1][o:0]1
20,c1ccc(-c2ccno2)cc1,[cH:8]1[cH:7][cH:6][c:5](-[c:4]2[cH:3][cH:2][n:1][o:0]2)[cH:9][cH:10]1
21,c1ccc2oncc2c1,[cH:7]1[cH:6][cH:5][c:4]2[o:0][n:1][cH:2][c:3]2[cH:8]1
