,react,C0C7_num
0,Clc1ccccn1,Cl[c:1]1[cH:2][cH:3][cH:4][cH:5][n:6]1
1,Brc1ccccn1,Br[c:1]1[cH:2][cH:3][cH:4][cH:5][n:6]1
2,CCc1ccc(I)cc1,[CH3:8][CH2:7][c:4]1[cH:3][cH:2][c:1](I)[cH:6][cH:5]1
3,FC(F)(F)c1ccc(Cl)cc1,[F:8][C:7]([F:9])([F:10])[c:4]1[cH:3][cH:2][c:1](Cl)[cH:6][cH:5]1
4,COc1ccc(Cl)cc1,[CH3:8][O:7][c:4]1[cH:3][cH:2][c:1](Cl)[cH:6][cH:5]1
5,Brc1cccnc1,Br[c:1]1[cH:2][cH:3][cH:4][n:5][cH:6]1
6,Ic1ccccn1,I[c:1]1[cH:2][cH:3][cH:4][cH:5][n:6]1
7,CCc1ccc(Br)cc1,[CH3:8][CH2:7][c:4]1[cH:3][cH:2][c:1](Br)[cH:6][cH:5]1
8,Clc1cccnc1,Cl[c:1]1[cH:2][cH:3][cH:4][n:5][cH:6]1
9,CCc1ccc(Cl)cc1,[CH3:8][CH2:7][c:4]1[cH:3][cH:2][c:1](Cl)[cH:6][cH:5]1
10,Ic1cccnc1,I[c:1]1[cH:2][cH:3][cH:4][n:5][cH:6]1
11,COc1ccc(Br)cc1,[CH3:8][O:7][c:4]1[cH:3][cH:2][c:1](Br)[cH:6][cH:5]1
12,FC(F)(F)c1ccc(I)cc1,[F:8][C:7]([F:9])([F:10])[c:4]1[cH:3][cH:2][c:1](I)[cH:6][cH:5]1
13,COc1ccc(I)cc1,[CH3:8][O:7][c:4]1[cH:3][cH:2][c:1](I)[cH:6][cH:5]1
14,FC(F)(F)c1ccc(Br)cc1,[F:8][C:7]([F:9])([F:10])[c:4]1[cH:3][cH:2][c:1](Br)[cH:6][cH:5]1
