,rxn_smarts
0,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC(C)(C)P(C(C)(C)C)C(C)(C)C).[Na+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC=C1P(C1=CC=CC=C1)C1=CC=CC=C1.[Na+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=C(N(C)C)C=CC=C1P(C(C)(C)C)C(C)(C)C).[Na+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
3,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1CCCCC1P(C1CCCCC1)C1CCCCC1.[Na+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
4,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC(C)=C1P(C1=CC=CC=C1C)C1=CC=CC=C1C.[Na+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
5,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@@]45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5.[Na+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
6,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC.[Na+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
7,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>[Fe].CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C.[Na+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
8,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC(C)c1cc(C(C)C)c(c(c1)C(C)C)-c2ccccc2P(C3CCCCC3)C4CCCCC4.[Na+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
9,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>[Fe].[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6.[Na+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
10,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(cccc15)P(c6ccccc6)c7ccccc7.[Na+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
11,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>.[Na+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
12,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC(C)(C)P(C(C)(C)C)C(C)(C)C).[Na+].[O-]C(=O)=O>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
13,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC=C1P(C1=CC=CC=C1)C1=CC=CC=C1.[Na+].[O-]C(=O)=O>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
14,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=C(N(C)C)C=CC=C1P(C(C)(C)C)C(C)(C)C).[Na+].[O-]C(=O)=O>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
15,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1CCCCC1P(C1CCCCC1)C1CCCCC1.[Na+].[O-]C(=O)=O>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
16,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC(C)=C1P(C1=CC=CC=C1C)C1=CC=CC=C1C.[Na+].[O-]C(=O)=O>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
17,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@@]45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5.[Na+].[O-]C(=O)=O>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
18,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC.[Na+].[O-]C(=O)=O>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
19,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>[Fe].CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C.[Na+].[O-]C(=O)=O>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
20,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC(C)c1cc(C(C)C)c(c(c1)C(C)C)-c2ccccc2P(C3CCCCC3)C4CCCCC4.[Na+].[O-]C(=O)=O>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
21,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>[Fe].[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6.[Na+].[O-]C(=O)=O>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
