substrate,coupling_partner,effective_coupling_partner,solvent,time,temperature,catalyst_precursor,reagents,effective_reagents,effective_reagents_covalent,reductant,ligand,effective_ligand,product,analytical_yield,isolated_yield,coupling_partner_class,DOI,origin,eq_substrate,eq_coupling_partner,eq_catalyst,eq_ligand,eq_reagent,2_steps,scheme_table,Review,Mechanism
COc1ccc2ccccc2c1,[Li]c1ccccc1,[Li]c1ccccc1,toluene,12h,rt,Ni(cod)2,,,,,,,c3ccc(c2ccc1ccccc1c2)cc3,73,,Li,https://doi.org/10.1002/chem.201603436,Optimisation,1,1.5,0.05,0,0,,Table 1,Research_Article,Murahashi
COc1ccc2ccccc2c1,[Li]c1ccccc1,[Li]c1ccccc1,toluene,12h,rt,Ni(cod)2,,,,,PCy3,PCy3,c3ccc(c2ccc1ccccc1c2)cc3,62,,Li,https://doi.org/10.1002/chem.201603436,Optimisation,1,1.5,0.05,0.1,0,,Table 1,Research_Article,Murahashi
COc1ccc2ccccc2c1,[Li]c1ccccc1,[Li]c1ccccc1,toluene,12h,rt,Ni(cod)2,,,,,dcype,dcype,c3ccc(c2ccc1ccccc1c2)cc3,0,,Li,https://doi.org/10.1002/chem.201603436,Optimisation,1,1.5,0.05,0.1,0,,Table 1,Research_Article,Murahashi
COc1ccc2ccccc2c1,[Li]c1ccccc1,[Li]c1ccccc1,toluene,12h,rt,Ni(cod)2,,,,,ItBu·HBF4,ItBu,c3ccc(c2ccc1ccccc1c2)cc3,76,,Li,https://doi.org/10.1002/chem.201603436,Optimisation,1,1.5,0.05,0.1,0,,Table 1,Research_Article,Murahashi
COc1ccc2ccccc2c1,[Li]c1ccccc1,[Li]c1ccccc1,toluene,12h,rt,Ni(cod)2,,,,,ICy-HCl,ICy,c3ccc(c2ccc1ccccc1c2)cc3,66,,Li,https://doi.org/10.1002/chem.201603436,Optimisation,1,1.5,0.05,0.1,0,,Table 1,Research_Article,Murahashi
COc1ccc2ccccc2c1,[Li]c1ccccc1,[Li]c1ccccc1,toluene,12h,rt,Ni(cod)2,,,,,IPr-HCl,IPr,c3ccc(c2ccc1ccccc1c2)cc3,72,,Li,https://doi.org/10.1002/chem.201603436,Optimisation,1,1.5,0.05,0.1,0,,Table 1,Research_Article,Murahashi
COc1ccc2ccccc2c1,[Li]c1ccccc1,[Li]c1ccccc1,toluene,12h,rt,Ni(cod)2,,,,,IMes.HCl,IMes,c3ccc(c2ccc1ccccc1c2)cc3,72,,Li,https://doi.org/10.1002/chem.201603436,Optimisation,1,1.5,0.05,0.1,0,,Table 1,Research_Article,Murahashi
COc1ccc2ccccc2c1,[Li]c1ccccc1,[Li]c1ccccc1,toluene,12h,rt,Ni(cod)2,,,,,SIPr-HCl,SIPr,c3ccc(c2ccc1ccccc1c2)cc3,71,,Li,https://doi.org/10.1002/chem.201603436,Optimisation,1,1.5,0.05,0.1,0,,Table 1,Research_Article,Murahashi
COc1ccc2ccccc2c1,[Li]c1ccccc1,[Li]c1ccccc1,toluene,12h,rt,Ni(cod)2,,,,,SIMes·HCl,SIMes,c3ccc(c2ccc1ccccc1c2)cc3,86,,Li,https://doi.org/10.1002/chem.201603436,Optimisation,1,1.5,0.05,0.1,0,,Table 1,Research_Article,Murahashi
COc1ccc2ccccc2c1,[Li]c1ccccc1,[Li]c1ccccc1,Et2O,12h,rt,Ni(cod)2,,,,,SIMes·HCl,SIMes,c3ccc(c2ccc1ccccc1c2)cc3,70,,Li,https://doi.org/10.1002/chem.201603436,Optimisation,1,1.5,0.05,0.1,0,,Table 1,Research_Article,Murahashi
COc1ccc2ccccc2c1,[Li]c1ccccc1,[Li]c1ccccc1,THF,12h,rt,Ni(cod)2,,,,,SIMes·HCl,SIMes,c3ccc(c2ccc1ccccc1c2)cc3,6,,Li,https://doi.org/10.1002/chem.201603436,Optimisation,1,1.5,0.05,0.1,0,,Table 1,Research_Article,Murahashi
