,substrate,effective_coupling_partner,catalyst_precursor,ligand,effective_reagents,product,solvent,time,temperature,volume (mL),substrate_mmol,coupling_partner_mmol,ligand_mmol,catalyst_mmol,reagent_mmol,analytical_yield,isolated_yield,DOI
0,COc1ccc2ccccc2c1,[Li]c1ccccc1,Ni(cod)2,,,c3ccc(c2ccc1ccccc1c2)cc3,toluene,12h,rt,3.0,0.3,0.45000002,0.0,0.015000001,0.0,73,,https://doi.org/10.1002/chem.201603436
1,COc1ccc2ccccc2c1,[Li]c1ccccc1,Ni(cod)2,PCy3,,c3ccc(c2ccc1ccccc1c2)cc3,toluene,12h,rt,3.0,0.3,0.45000002,0.030000001,0.015000001,0.0,62,,https://doi.org/10.1002/chem.201603436
2,COc1ccc2ccccc2c1,[Li]c1ccccc1,Ni(cod)2,dcype,,c3ccc(c2ccc1ccccc1c2)cc3,toluene,12h,rt,3.0,0.3,0.45000002,0.030000001,0.015000001,0.0,0,,https://doi.org/10.1002/chem.201603436
3,COc1ccc2ccccc2c1,[Li]c1ccccc1,Ni(cod)2,ItBu,,c3ccc(c2ccc1ccccc1c2)cc3,toluene,12h,rt,3.0,0.3,0.45000002,0.030000001,0.015000001,0.0,76,,https://doi.org/10.1002/chem.201603436
4,COc1ccc2ccccc2c1,[Li]c1ccccc1,Ni(cod)2,ICy,,c3ccc(c2ccc1ccccc1c2)cc3,toluene,12h,rt,3.0,0.3,0.45000002,0.030000001,0.015000001,0.0,66,,https://doi.org/10.1002/chem.201603436
5,COc1ccc2ccccc2c1,[Li]c1ccccc1,Ni(cod)2,IPr,,c3ccc(c2ccc1ccccc1c2)cc3,toluene,12h,rt,3.0,0.3,0.45000002,0.030000001,0.015000001,0.0,72,,https://doi.org/10.1002/chem.201603436
6,COc1ccc2ccccc2c1,[Li]c1ccccc1,Ni(cod)2,IMes,,c3ccc(c2ccc1ccccc1c2)cc3,toluene,12h,rt,3.0,0.3,0.45000002,0.030000001,0.015000001,0.0,72,,https://doi.org/10.1002/chem.201603436
7,COc1ccc2ccccc2c1,[Li]c1ccccc1,Ni(cod)2,SIPr,,c3ccc(c2ccc1ccccc1c2)cc3,toluene,12h,rt,3.0,0.3,0.45000002,0.030000001,0.015000001,0.0,71,,https://doi.org/10.1002/chem.201603436
8,COc1ccc2ccccc2c1,[Li]c1ccccc1,Ni(cod)2,SIMes,,c3ccc(c2ccc1ccccc1c2)cc3,toluene,12h,rt,3.0,0.3,0.45000002,0.030000001,0.015000001,0.0,86,,https://doi.org/10.1002/chem.201603436
9,COc1ccc2ccccc2c1,[Li]c1ccccc1,Ni(cod)2,SIMes,,c3ccc(c2ccc1ccccc1c2)cc3,Et2O,12h,rt,3.0,0.3,0.45000002,0.030000001,0.015000001,0.0,70,,https://doi.org/10.1002/chem.201603436
10,COc1ccc2ccccc2c1,[Li]c1ccccc1,Ni(cod)2,SIMes,,c3ccc(c2ccc1ccccc1c2)cc3,THF,12h,rt,3.0,0.3,0.45000002,0.030000001,0.015000001,0.0,6,,https://doi.org/10.1002/chem.201603436
11,COc1ccc2ccccc2c1,[Li]c1ccccc1,Ni(cod)2,SIMes,,c3ccc(c2ccc1ccccc1c2)cc3,toluene,12h,rt,3.0,0.3,0.45000002,0.012,0.006,0.0,69,,https://doi.org/10.1002/chem.201603436
12,COc1ccc2ccccc2c1,[Li]c1ccccc1,Ni(cod)2,SIMes,,c3ccc(c2ccc1ccccc1c2)cc3,toluene,12h,rt,3.0,0.3,0.45000002,0.003,0.015000001,0.0,86,,https://doi.org/10.1002/chem.201603436
13,COc1ccc2ccccc2c1,[Li]c1ccccc1,Ni(cod)2,SIMes,,c3ccc(c2ccc1ccccc1c2)cc3,toluene,12h,rt,3.0,0.3,0.45000002,0.045,0.015000001,0.0,83,,https://doi.org/10.1002/chem.201603436
14,COc1ccc2ccccc2c1,[Li]c1ccccc1,Ni(cod)2,SIMes,,c3ccc(c2ccc1ccccc1c2)cc3,toluene,12h,rt,3.0,0.3,0.45000002,0.045,0.0225,0.0,86,,https://doi.org/10.1002/chem.201603436
15,COc1ccc2ccccc2c1,[Li]c1ccccc1,Ni(cod)2,SIMes,,c3ccc(c2ccc1ccccc1c2)cc3,toluene,12h,rt,3.0,0.3,0.45000002,0.030000001,0.030000001,0.0,92,,https://doi.org/10.1002/chem.201603436
16,COc1ccc2ccccc2c1,[Li]c1ccccc1,Ni(cod)2,SIMes,,c3ccc(c2ccc1ccccc1c2)cc3,toluene,12h,rt,3.0,0.3,0.45000002,0.060000002,0.030000001,0.0,93,,https://doi.org/10.1002/chem.201603436
17,COc1ccc2ccccc2c1,[Li]c1ccccc1,Ni(cod)2,SIMes,,c3ccc(c2ccc1ccccc1c2)cc3,toluene,12h,rt,3.0,0.3,0.45000002,0.030000001,0.030000001,0.0,,92.0,https://doi.org/10.1002/chem.201603436
18,COc1ccc2ccccc2c1,Cc1ccccc1[Li],Ni(cod)2,SIMes,,Cc1ccccc1c3ccc2ccccc2c3,toluene,12h,rt,3.0,0.3,0.45000002,0.030000001,0.030000001,0.0,,94.0,https://doi.org/10.1002/chem.201603436
19,COc1ccc2ccccc2c1,Cc1cc(C)c([Li])c(C)c1,Ni(cod)2,SIMes,,Cc3cc(C)c(c2ccc1ccccc1c2)c(C)c3,toluene,12h,rt,3.0,0.3,0.45000002,0.030000001,0.030000001,0.0,,72.0,https://doi.org/10.1002/chem.201603436
20,COc1ccc2ccccc2c1,CC(C)(C)c1ccc([Li])cc1,Ni(cod)2,SIMes,,CC(C)(C)c3ccc(c2ccc1ccccc1c2)cc3,toluene,12h,70°C,3.0,0.3,0.45000002,0.030000001,0.030000001,0.0,,95.0,https://doi.org/10.1002/chem.201603436
21,COc1ccc2ccccc2c1,COc1ccc([Li])cc1,Ni(cod)2,SIMes,,COc3ccc(c2ccc1ccccc1c2)cc3,toluene,12h,rt,3.0,0.3,0.45000002,0.030000001,0.030000001,0.0,,92.0,https://doi.org/10.1002/chem.201603436
