,Yields,RXN,Origin,Mechanism,DOI,Substrate
0,73.0,COc1ccc2ccccc2c1.[Li]c1ccccc1>c1ccccc1C.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
1,62.0,COc1ccc2ccccc2c1.[Li]c1ccccc1>c1ccccc1C.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
2,0.0,COc1ccc2ccccc2c1.[Li]c1ccccc1>c1ccccc1C.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
3,76.0,COc1ccc2ccccc2c1.[Li]c1ccccc1>c1ccccc1C.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
4,66.0,COc1ccc2ccccc2c1.[Li]c1ccccc1>c1ccccc1C.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
5,72.0,COc1ccc2ccccc2c1.[Li]c1ccccc1>c1ccccc1C.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
6,72.0,COc1ccc2ccccc2c1.[Li]c1ccccc1>c1ccccc1C.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
7,71.0,COc1ccc2ccccc2c1.[Li]c1ccccc1>c1ccccc1C.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
8,86.0,COc1ccc2ccccc2c1.[Li]c1ccccc1>c1ccccc1C.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
9,70.0,COc1ccc2ccccc2c1.[Li]c1ccccc1>CCOCC.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
