,number_of_atoms,charge,multiplicity,dipole,molar_mass,molar_volume,electronic_spatial_extent,E_scf,zero_point_correction,E_thermal_correction,H_thermal_correction,G_thermal_correction,E_zpe,E,H,G,stoichiometry,converged,homo_energy,lumo_energy,electronegativity,hardness,ES_root_dipole,ES_root_molar_volume,ES_root_electronic_spatial_extent,X_0,X_1,X_2,X_3,Y_0,Y_1,Y_2,Y_3,Z_0,Z_1,Z_2,Z_3,VBur_0,VBur_1,VBur_2,VBur_3,Mulliken_charge_0,Mulliken_charge_1,Mulliken_charge_2,Mulliken_charge_3,APT_charge_0,APT_charge_1,APT_charge_2,APT_charge_3,NPA_charge_0,NPA_charge_1,NPA_charge_2,NPA_charge_3,NPA_core_0,NPA_core_1,NPA_core_2,NPA_core_3,NPA_valence_0,NPA_valence_1,NPA_valence_2,NPA_valence_3,NPA_Rydberg_0,NPA_Rydberg_1,NPA_Rydberg_2,NPA_Rydberg_3,NPA_total_0,NPA_total_1,NPA_total_2,NPA_total_3,NMR_shift_0,NMR_shift_1,NMR_shift_2,NMR_shift_3,NMR_anisotropy_0,NMR_anisotropy_1,NMR_anisotropy_2,NMR_anisotropy_3,ES_root_Mulliken_charge_0,ES_root_Mulliken_charge_1,ES_root_Mulliken_charge_2,ES_root_Mulliken_charge_3,ES_root_NPA_charge_0,ES_root_NPA_charge_1,ES_root_NPA_charge_2,ES_root_NPA_charge_3,ES_root_NPA_core_0,ES_root_NPA_core_1,ES_root_NPA_core_2,ES_root_NPA_core_3,ES_root_NPA_valence_0,ES_root_NPA_valence_1,ES_root_NPA_valence_2,ES_root_NPA_valence_3,ES_root_NPA_Rydberg_0,ES_root_NPA_Rydberg_1,ES_root_NPA_Rydberg_2,ES_root_NPA_Rydberg_3,ES_root_NPA_total_0,ES_root_NPA_total_1,ES_root_NPA_total_2,ES_root_NPA_total_3,ES_transition_0,ES_transition_1,ES_transition_2,ES_transition_3,ES_transition_4,ES_transition_5,ES_transition_6,ES_transition_7,ES_transition_8,ES_transition_9,ES_osc_strength_0,ES_osc_strength_1,ES_osc_strength_2,ES_osc_strength_3,ES_osc_strength_4,ES_osc_strength_5,ES_osc_strength_6,ES_osc_strength_7,ES_osc_strength_8,ES_osc_strength_9,ES_<S**2>_0,ES_<S**2>_1,ES_<S**2>_2,ES_<S**2>_3,ES_<S**2>_4,ES_<S**2>_5,ES_<S**2>_6,ES_<S**2>_7,ES_<S**2>_8,ES_<S**2>_9,at_0,at_1,at_2,at_3
COc1ccc(cc1)C(=O)C,21,0,1,3.0599,150.1768,1505.751,2221.1642,-499.418588243,0.17126,0.181643,0.182587,0.135111,-499.249565,-499.239182,-499.238238,-499.285714,C9H10O2,1.0,-0.22845,-0.04362,0.136035,0.092415,0.606,1077.98,2227.3178,-3.362167,-3.52213,-2.57944,-1.107554,1.532335,0.902472,-0.292501,-0.046729,0.883512,0.000143,-1e-06,-1.3e-05,0.36099748269351795,0.41803020767778476,0.5637979861548144,0.6496224040276903,0.168199,-0.542703,0.404452,0.076123,0.008206,-0.109641,1.048820,-0.457215,0.24626,-0.76631,0.56538,-0.18491,0.00000,1.99938,1.99929,1.99894,0.75291,4.76001,3.39987,4.17101,0.00083,0.00692,0.03546,0.01496,0.75374,6.76631,5.43462,6.18491,29.7362,163.8952,5.2063,67.174,4.3733,38.7587,150.4756,152.9395,,0.054298,0.303164,0.115126,0.25801,-0.70651,0.35806,-0.17228,0.00000,1.99933,1.99928,1.99889,0.74066,4.70043,3.61014,4.15863,0.00133,0.00675,0.03251,0.01477,0.74199,6.70651,5.64194,6.17228,323.36,258.74,252.92,226.76,212.07,184.34,184.05,182.12,177.29,170.39,0.0,0.3428,0.0196,0.0,0.1311,0.0007,0.2227,0.0003,0.07,0.3269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H,C,C,C
Br[Mg]C=C,7,0,1,3.1683,131.2547,916.026,1207.3757,-2849.84270049,0.042202,0.048044,0.048988,0.011393,-2849.814845,-2849.809003,-2849.808059,-2849.845654,C2H3BrMg,1.0,-0.26595,-0.0431,0.15452500000000002,0.11142500000000001,9.3331,824.424,1059.1594,0.68014,2.727372,3.603192,-1.637347,-0.230282,-0.496016,0.523411,0.061315,-0.000383,0.000163,9.1e-05,7e-05,0.4286500943989931,0.4254247954688483,0.3519509125235997,0.3222152297042165,0.469517,-0.272777,-0.311057,-0.278358,1.044989,-0.364786,-0.020415,-0.600468,1.23127,-0.82197,-0.41589,-0.62173,9.99800,1.99920,1.99917,27.99965,0.75486,4.79507,4.40278,7.61060,0.01587,0.02770,0.01395,0.01148,10.76873,6.82197,6.41589,35.62173,516.2556,56.7467,53.7765,2941.7941,281.9571,184.6729,156.4524,260.2062,0.005908,-0.016781,0.228643,-0.217770,0.62474,-0.45980,-0.15698,-0.60615,9.99868,1.99945,1.99939,27.99968,1.34565,4.42369,4.14517,7.59578,0.03093,0.03666,0.01242,0.01068,11.37526,6.45980,6.15698,35.60615,245.7,227.58,226.54,224.6,223.32,211.39,210.41,204.93,202.81,199.48,0.0132,0.0088,0.0399,0.1955,0.0766,0.0093,0.0002,0.0,0.0537,0.2318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg,C,C,Br
Br[Mg]c1c(C)cccc1C,19,0,1,3.6646,209.3681,1738.573,3705.6425,-3082.13723616,0.145594,0.156382,0.157327,0.105724,-3082.006455,-3081.995667,-3081.994723,-3082.046326,C8H9BrMg,1.0,-0.23343,-0.03594,0.134685,0.098745,13.7575,2006.045,3422.9818,0.920357,-1.158184,-1.855086,-1.899265,0.014804,0.014153,-1.21056,1.219937,0.00021,0.000375,0.000128,0.000199,0.5084172435494021,0.6588263058527376,0.6388451856513531,0.6364852108244179,0.390663,-0.119453,0.113017,0.125296,1.075517,-0.355377,0.009682,0.038542,1.21762,-0.56419,-0.03858,-0.03608,9.99794,1.99900,1.99899,1.99899,0.76782,4.53779,4.02353,4.02067,0.01662,0.02740,0.01606,0.01642,10.78238,6.56419,6.03858,6.03608,512.6547,44.4899,49.3805,50.1025,285.2008,146.2419,178.7349,177.027,-0.180271,-0.057473,0.104309,0.140675,0.58706,-0.52511,0.00145,0.15831,9.99824,1.99913,1.99905,1.99903,1.38690,4.49557,3.98402,3.82766,0.02779,0.03042,0.01548,0.01499,11.41294,6.52511,5.99855,5.84169,268.36,265.39,259.92,242.96,236.35,225.53,224.57,222.38,221.5,220.76,0.0003,0.0056,0.0145,0.1191,0.0161,0.0001,0.3272,0.0001,0.0323,0.0616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg,C,C,C
Br[Mg]c1cc(C)cc(c1)C,19,0,1,3.7901,209.3681,2113.137,4584.1966,-3082.13645881,0.146031,0.15684,0.157784,0.105778,-3082.006054,-3081.995245,-3081.994301,-3082.046307,C8H9BrMg,1.0,-0.231,-0.04266,0.13683,0.09417,15.4567,1911.886,4256.3323,-1.398791,0.67302,1.4135,1.406118,-0.002684,-0.001807,-1.20344,1.197873,2.4e-05,6.8e-05,3.8e-05,5.1e-05,0.44815921963499056,0.5849590937696665,0.5542794210195091,0.5563247325361863,0.433654,-0.009092,-0.259097,-0.253694,1.087398,-0.279428,-0.122574,-0.113013,1.24628,-0.58121,-0.24282,-0.24111,9.99790,1.99915,1.99902,1.99901,0.73978,4.55210,4.22963,4.22799,0.01604,0.02995,0.01417,0.01411,10.75372,6.58121,6.24282,6.24111,517.6974,51.8309,57.0,56.8758,279.1877,186.2589,136.6918,147.7237,-0.138474,0.009772,-0.030517,-0.007783,0.59763,-0.56288,-0.11462,-0.06393,9.99820,1.99931,1.99905,1.99905,1.37496,4.52867,4.10196,4.05152,0.02921,0.03489,0.01360,0.01336,11.40237,6.56288,6.11462,6.06393,284.43,274.45,253.46,237.53,234.72,231.13,230.47,230.45,227.18,225.22,0.0001,0.0098,0.0094,0.0003,0.1696,0.3823,0.0,0.0,0.0342,0.0796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg,C,C,C
Br[Mg]c1ccc(cc1)C,16,0,1,3.7897,195.3413,1385.86,4130.1916,-3042.81954059,0.118471,0.127387,0.128331,0.081692,-3042.715899,-3042.706983,-3042.706039,-3042.752678,C7H7BrMg,1.0,-0.2369,-0.04339,0.140145,0.09675500000000001,14.8786,1563.535,3824.7733,-1.230036,0.840649,1.583495,1.592404,-0.003111,-0.003413,1.194023,-1.19843,-0.000253,-0.000424,-0.000274,-0.000273,0.447293895531781,0.5828351164254248,0.5168344870988043,0.5161264946507237,0.432359,-0.023455,-0.190952,-0.193747,1.100433,-0.353665,-0.011817,-0.023427,1.24683,-0.60466,-0.23166,-0.23131,9.99789,1.99914,1.99908,1.99909,0.73932,4.57595,4.21705,4.21666,0.01596,0.02957,0.01552,0.01556,10.75317,6.60466,6.23166,6.23131,517.3578,54.8291,55.2433,55.5038,278.3524,189.506,159.3061,159.7958,-0.086753,0.029655,0.017158,0.002740,0.62188,-0.33439,-0.18895,-0.22158,9.99841,1.99931,1.99917,1.99918,1.35039,4.30118,4.17409,4.20648,0.02932,0.03391,0.01569,0.01592,11.37812,6.33439,6.18895,6.22158,278.9,263.23,242.4,234.75,233.99,230.89,228.84,227.32,223.7,222.68,0.0101,0.0,0.0022,0.116,0.0,0.5613,0.0088,0.0367,0.0539,0.0179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg,C,C,C
Br[Mg]c1ccc(cc1)C(C)(C)C,25,0,1,3.7866,237.4217,1932.886,6934.68,-3160.755259,0.204056,0.217473,0.218418,0.161831,-3160.567296,-3160.553878,-3160.552934,-3160.609521,C10H13BrMg,1.0,-0.23669,-0.0432,0.139945,0.096745,15.6533,1531.721,6530.1582,2.408792,0.338054,-0.42064,-0.404472,0.003443,0.010923,-1.178729,1.206581,-0.00016,-0.000544,-0.000433,-0.000429,0.446821900566394,0.5828351164254248,0.5174638137193204,0.5171491504090623,0.431872,-0.020065,-0.196621,-0.195500,1.114344,-0.357096,-0.010528,-0.012800,1.24690,-0.60221,-0.23073,-0.22929,9.99789,1.99914,1.99908,1.99909,0.73929,4.57350,4.21579,4.21445,0.01592,0.02957,0.01586,0.01575,10.75310,6.60221,6.23073,6.22929,517.4177,54.2279,55.5359,55.0062,278.8548,188.0134,158.2457,158.696,-0.093307,0.032868,-0.009329,0.014993,0.61804,-0.33821,-0.23604,-0.16981,9.99840,1.99930,1.99917,1.99917,1.35425,4.30498,4.22057,4.15485,0.02931,0.03394,0.01630,0.01579,11.38196,6.33821,6.23604,6.16981,278.5,264.58,243.26,235.48,233.86,231.94,229.06,227.19,224.39,223.64,0.0092,0.0002,0.0027,0.2239,0.0,0.5229,0.0044,0.0363,0.037,0.0387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg,C,C,C
Br[Mg]c1ccc(cc1)C(C)C,22,0,1,3.7534,223.3949,1782.365,6088.8709,-3121.44540808,0.17585,0.188124,0.189068,0.134376,-3121.285148,-3121.272875,-3121.271931,-3121.326622,C9H11BrMg,1.0,-0.23711,-0.04345,0.14028,0.09683,15.4131,1564.116,5736.0978,-2.074678,-0.005529,0.691518,0.791755,0.017853,0.103265,1.328157,-1.061268,-0.00055,-0.001057,-0.000636,-0.001038,0.44446192573945875,0.5840937696664569,0.5182504719949654,0.5176998112020138,0.432404,-0.022769,-0.190676,-0.194744,1.110561,-0.356108,-0.017070,-0.007906,1.24702,-0.60325,-0.23074,-0.23040,9.99789,1.99914,1.99908,1.99909,0.73915,4.57458,4.21608,4.21555,0.01593,0.02953,0.01558,0.01576,10.75298,6.60325,6.23074,6.23040,517.4936,53.7071,54.9191,55.1948,278.5252,188.4094,159.3461,160.2767,-0.090521,0.030262,0.014909,-0.000705,0.61929,-0.33530,-0.18945,-0.22006,9.99840,1.99930,1.99917,1.99918,1.35300,4.30217,4.17453,4.20478,0.02930,0.03383,0.01575,0.01611,11.38071,6.33530,6.18945,6.22006,278.37,263.59,242.53,235.16,233.65,231.88,229.05,227.3,224.13,222.99,0.0095,0.0,0.0014,0.1884,0.0,0.5456,0.0054,0.0364,0.0604,0.0153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg,C,C,C
Br[Mg]c1ccc(cc1)C(F)(F)F,16,0,1,0.5086,249.3128,1172.566,6655.0199,-3340.53546743,0.095716,0.106342,0.107286,0.055968,-3340.458052,-3340.447426,-3340.446482,-3340.4978,C7H4BrF3Mg,1.0,-0.26438,-0.05447,0.159425,0.104955,10.8537,1705.551,6247.4085,2.371106,0.292116,-0.442287,-0.45892,-0.001618,0.005322,1.208003,-1.19045,-0.00093,-0.000573,-0.000435,-0.000444,0.44713656387665196,0.5842511013215859,0.5164411579609818,0.5158904971680303,0.452966,-0.015878,-0.198730,-0.200093,1.111460,-0.302056,-0.055646,-0.056220,1.25966,-0.58060,-0.23400,-0.23355,9.99799,1.99916,1.99909,1.99909,0.72696,4.55162,4.21940,4.21895,0.01539,0.02982,0.01551,0.01551,10.74034,6.58060,6.23400,6.23355,518.8384,46.801,55.6934,55.4316,279.1823,204.5086,164.2063,165.0019,-0.074927,0.036226,0.064895,-0.009160,0.61919,-0.34409,-0.06940,-0.27370,9.99839,1.99931,1.99916,1.99919,1.35432,4.31080,4.05531,4.25835,0.02810,0.03398,0.01493,0.01616,11.38081,6.34409,6.06940,6.27370,252.95,250.0,241.29,232.18,229.87,228.05,225.49,221.07,214.46,212.52,0.0068,0.0014,0.008,0.0013,0.0375,0.0686,0.5953,0.039,0.0003,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg,C,C,C
Br[Mg]c1ccc(cc1)N(C)C,21,0,1,5.3459,224.3827,1819.134,6158.018,-3137.46120304,0.164307,0.175877,0.176821,0.12388,-3137.319768,-3137.308197,-3137.307253,-3137.360194,C8H10BrMgN,1.0,-0.18615,-0.03596,0.111055,0.07509500000000001,20.3809,1928.282,5673.6751,-2.065294,-0.004517,0.753941,0.75381,9.8e-05,0.000162,1.190222,-1.189985,0.000312,0.000665,0.000466,0.000422,0.446821900566394,0.5825991189427313,0.5182504719949654,0.5183291378225299,0.411336,-0.022814,-0.200080,-0.200061,1.121635,-0.525126,0.132800,0.132779,1.23536,-0.64439,-0.21606,-0.21607,9.99777,1.99913,1.99909,1.99909,0.75051,4.61583,4.20115,4.20116,0.01635,0.02943,0.01582,0.01582,10.76464,6.64439,6.21606,6.21607,514.7522,66.9425,54.4271,54.4261,276.1407,169.8564,158.697,158.6941,-0.127120,0.028476,-0.038753,-0.038730,0.61868,-0.43020,-0.22594,-0.22595,9.99819,1.99928,1.99915,1.99915,1.35168,4.39709,4.21069,4.21070,0.03145,0.03383,0.01610,0.01610,11.38132,6.43020,6.22594,6.22595,363.33,293.81,289.37,267.32,261.93,236.04,226.84,225.72,223.13,223.06,0.0073,0.0,0.3181,0.0254,0.0,0.5633,0.0204,0.0394,0.0104,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg,C,C,C
Br[Mg]c1cccc(c1)C,16,0,1,3.5585,195.3413,1489.537,3888.0118,-3042.81936839,0.118475,0.127381,0.128325,0.081617,-3042.71549,-3042.706584,-3042.70564,-3042.752349,C7H7BrMg,1.0,-0.23665,-0.0439,0.140275,0.096375,14.9118,1692.656,3581.9674,-1.112247,0.946725,1.548936,1.813417,0.110491,0.347898,1.624499,-0.762078,0.000372,0.000645,0.000291,0.00046,0.44485525487728134,0.5839364380113279,0.5164411579609818,0.55813404657017,0.435069,-0.016581,-0.199549,-0.245973,1.085722,-0.301363,-0.078547,-0.082805,1.24744,-0.58869,-0.24571,-0.23390,9.99791,1.99915,1.99908,1.99902,0.73868,4.55968,4.23130,4.22076,0.01597,0.02986,0.01534,0.01412,10.75256,6.58869,6.24571,6.23390,517.8846,51.637,58.1824,54.67,278.6667,190.0571,159.5709,150.1829,-0.124762,0.008981,0.067207,-0.052375,0.60403,-0.51536,-0.02128,-0.21580,9.99825,1.99931,1.99912,1.99908,1.36858,4.48133,4.00805,4.20244,0.02914,0.03472,0.01411,0.01428,11.39597,6.51536,6.02128,6.21580,277.03,267.64,247.66,232.86,232.4,229.61,227.45,227.05,225.57,224.66,0.0024,0.0078,0.0099,0.2425,0.0002,0.0023,0.0355,0.3088,0.002,0.0758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg,C,C,C
