react,fragC,fragO,product,C0O1_num
COc1ccc2ccccc2c1,*c1ccc2ccccc2c1,*OC,c3ccc(c2ccc1ccccc1c2)cc3,c1([O:1][CH3:12])[cH:3][cH:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[cH:11]1
COc1ccc2cc([Si](C)(C)C)ccc2c1,*c1ccc2cc([Si](C)(C)C)ccc2c1,*OC,C[Si](C)(C)c3ccc2cc(c1ccccc1)ccc2c3,c1([O:1][CH3:16])[cH:3][cH:4][c:5]2[cH:6][c:7]([Si:8]([CH3:9])([CH3:10])[CH3:11])[cH:12][cH:13][c:14]2[cH:15]1
COc1ccc2cc(N3CCCCC3)ccc2c1,*c1ccc2cc(N3CCCCC3)ccc2c1,*OC,c4ccc(c3ccc2cc(N1CCCCC1)ccc2c3)cc4,c1([O:1][CH3:18])[cH:3][cH:4][c:5]2[cH:6][c:7]([N:8]3[CH2:9][CH2:10][CH2:11][CH2:12][CH2:13]3)[cH:14][cH:15][c:16]2[cH:17]1
COc1ccc2ccc(O)cc2c1,*c1ccc2ccc(O)cc2c1,*OC,Oc3ccc2ccc(c1ccccc1)cc2c3,c1([O:1][CH3:13])[cH:3][cH:4][c:5]2[cH:6][cH:7][c:8]([OH:9])[cH:10][c:11]2[cH:12]1
COc1cccc2ccccc12,*c1cccc2ccccc12,*OC,c3ccc(c1cccc2ccccc12)cc3,c1([O:1][CH3:12])[cH:3][cH:4][cH:5][c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]12
COc1ccc(C)cc1,*c1ccc(C)cc1,*OC,Cc2ccc(c1ccc(N(C)C)cc1)cc2,c1([O:1][CH3:9])[cH:3][cH:4][c:5]([CH3:6])[cH:7][cH:8]1
COc1ccc([C@@H](C)N(C)C)cc1,*c1ccc([C@@H](C)N(C)C)cc1,*OC,Cc1ccccc1c2ccc([C@@H](C)N(C)C)cc2,c1([O:1][CH3:13])[cH:3][cH:4][c:5]([C@@H:6]([CH3:7])[N:8]([CH3:9])[CH3:10])[cH:11][cH:12]1
COc1ccc([C@H](C)N(C)C)cc1,*c1ccc([C@H](C)N(C)C)cc1,*OC,Cc1ccccc1c2ccc([C@H](C)N(C)C)cc2,c1([O:1][CH3:13])[cH:3][cH:4][c:5]([C@H:6]([CH3:7])[N:8]([CH3:9])[CH3:10])[cH:11][cH:12]1
COc1ccc(CO)cc1,*c1ccc(CO)cc1,*OC,Cc1ccccc1c2ccc(CO)cc2,c1([O:1][CH3:10])[cH:3][cH:4][c:5]([CH2:6][OH:7])[cH:8][cH:9]1
COc1ccc(CCO)cc1,*c1ccc(CCO)cc1,*OC,Cc1ccccc1c2ccc(CCO)cc2,c1([O:1][CH3:11])[cH:3][cH:4][c:5]([CH2:6][CH2:7][OH:8])[cH:9][cH:10]1
COc1ccc2ncccc2c1,*c1ccc2ncccc2c1,*OC,CN(C)c3ccc(c2ccc1ncccc1c2)cc3,c1([O:1][CH3:12])[cH:3][cH:4][c:5]2[n:6][cH:7][cH:8][cH:9][c:10]2[cH:11]1
COc1ccc2c(ccn2C)c1,*c1ccc2c(ccn2C)c1,*OC,Cc1ccccc1c3ccc2c(ccn2C)c3,c1([O:1][CH3:12])[cH:3][cH:4][c:5]2[c:6]([cH:7][cH:8][n:9]2[CH3:10])[cH:11]1
COc1ccc2c(c1)c1ccccc1n2C,*c1ccc2c(c1)c1ccccc1n2C,*OC,Cc1ccccc1c2ccc4c(c2)c3ccccc3n4C,c1([O:1][CH3:16])[cH:3][cH:4][c:5]2[c:6]([cH:7]1)[c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1[n:14]2[CH3:15]
CCOc1ccc2ccccc2c1,*c1ccc2ccccc2c1,*OCC,c3ccc(c2ccc1ccccc1c2)cc3,c1([O:1][CH2:13][CH3:14])[cH:4][cH:5][c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[cH:12]1
