,react,C0C7_num
0,[Li]c1ccccc1,[Li][c:1]1[cH:2][cH:5][cH:5][cH:4][cH:3]1
1,[Li]c1ccccc1C,[Li][c:1]1[cH:2][cH:5][cH:5][cH:6][c:3]1[CH3:4]
2,[Li]c1c(C)cc(C)cc1C,[Li][c:1]1[c:2]([CH3:5])[cH:5][c:5]([CH3:5])[cH:6][c:3]1[CH3:4]
3,[Li]c1ccc(C(C)(C)C)cc1,[Li][c:1]1[cH:2][cH:5][c:5]([C:5]([CH3:5])([CH3:5])[CH3:5])[cH:4][cH:3]1
4,[Li]c1ccc(OC)cc1,[Li][c:1]1[cH:2][cH:5][c:5]([O:5][CH3:5])[cH:4][cH:3]1
5,[Li]c1ccc(O[Si](C)(C)C(C)(C)C)cc1,[Li][c:1]1[cH:2][cH:5][c:5]([O:5][Si:5]([CH3:5])([CH3:5])[C:5]([CH3:5])([CH3:5])[CH3:5])[cH:4][cH:3]1
6,[Li]c1ccccc1OCOC,[Li][c:1]1[cH:2][cH:5][cH:5][cH:6][c:3]1[O:4][CH2:5][O:5][CH3:5]
7,[Li]c1ccc(N(C)C)cc1,[Li][c:1]1[cH:2][cH:5][c:5]([N:5]([CH3:5])[CH3:5])[cH:4][cH:3]1
8,[Li]c1cccc2ccccc12,[Li][c:1]1[cH:2][cH:5][cH:5][c:6]2[c:3]1[cH:4][cH:5][cH:5][cH:5]2
9,[Li]c1ccc(O[Si](C)(C)C)cc1,[Li][c:1]1[cH:2][cH:5][c:5]([O:5][Si:5]([CH3:5])([CH3:5])[CH3:5])[cH:4][cH:3]1
10,[Li]c1cccc(O[Si](C)(C)C(C)(C)C)c1,[Li][c:1]1[cH:2][cH:5][cH:5][c:4]([O:5][Si:5]([CH3:5])([CH3:5])[C:5]([CH3:5])([CH3:5])[CH3:5])[cH:3]1
11,[Li]c1cccn1C,[Li][c:1]1[cH:2][cH:5][cH:6][n:3]1[CH3:4]
12,[Li]c1cc2ccccc2n1C,[Li][c:1]1[cH:2][c:5]2[cH:5][cH:5][cH:5][cH:5][c:6]2[n:3]1[CH3:4]
13,[Li]c1ccc2ccn(C)c2c1,[Li][c:1]1[cH:2][cH:5][c:5]2[c:4]([cH:3]1)[n:5]([CH3:5])[cH:5][cH:5]2
14,[Li]c1ccc2c3ccccc3n(CC)c2c1,[Li][c:1]1[cH:2][cH:5][c:5]2[c:4]([cH:3]1)[n:5]([CH2:5][CH3:5])[c:5]1[cH:5][cH:5][cH:5][cH:5][c:5]21
15,[Li]C=CCCCCCCCC,[Li][CH:1]=[CH:2][CH2:3][CH2:4][CH2:5][CH2:5][CH2:5][CH2:5][CH2:5][CH3:5]
16,[Li]C1=CCCCC1,[Li][C:1]1=[CH:2][CH2:5][CH2:5][CH2:4][CH2:3]1
17,[Li]C1CC1,[Li][CH:1]1[CH2:2][CH2:3]1
18,[Li]C,[Li][CH3:1]
19,[Li][Zn]([Li])(C)(C)(C)c1ccccc1,[Zn]([c:1]1[cH:2][cH:4][cH:4][cH:4][cH:3]1)([Li:4])([Li:4])([CH3:4])([CH3:4])[CH3:4]
20,[Li][Zn]([Li])(C)(C)(C)c1ccccc1C,[Zn]([c:1]1[cH:2][cH:4][cH:4][cH:4][c:3]1[CH3:4])([Li:4])([Li:4])([CH3:4])([CH3:4])[CH3:4]
21,[Li][Zn]([Li])(C)(C)(C)c1cccc(C)c1,[Zn]([c:1]1[cH:2][cH:4][cH:4][c:4]([CH3:4])[cH:3]1)([Li:4])([Li:4])([CH3:4])([CH3:4])[CH3:4]
22,[Li][Zn]([Li])(C)(C)(C)c1ccc(C)cc1,[Zn]([c:1]1[cH:2][cH:4][c:4]([CH3:4])[cH:4][cH:3]1)([Li:4])([Li:4])([CH3:4])([CH3:4])[CH3:4]
23,[Li][Zn]([Li])(C)(C)(C)c1ccc(OC)cc1,[Zn]([c:1]1[cH:2][cH:4][c:4]([O:4][CH3:4])[cH:4][cH:3]1)([Li:4])([Li:4])([CH3:4])([CH3:4])[CH3:4]
24,[Li][Zn]([Li])(C)(C)(C)c1ccc(C(=O)N(C(C)C)C(C)C)cc1,[Zn]([c:1]1[cH:2][cH:4][c:4]([C:4](=[O:4])[N:4]([CH:4]([CH3:4])[CH3:4])[CH:4]([CH3:4])[CH3:4])[cH:4][cH:3]1)([Li:4])([Li:4])([CH3:4])([CH3:4])[CH3:4]
25,[Li][Zn]([Li])(C)(C)(C)c1cccc2ccccc12,[Zn]([c:1]1[cH:2][cH:4][cH:4][c:4]2[c:3]1[cH:4][cH:4][cH:4][cH:4]2)([Li:4])([Li:4])([CH3:4])([CH3:4])[CH3:4]
26,Cc1ccc([Mg]Br)cc1,[Mg]([c:1]1[cH:2][cH:4][c:4]([CH3:4])[cH:4][cH:3]1)[Br:4]
29,Cc1ccc([Mg]Cl)cc1,[Mg]([c:1]1[cH:2][cH:4][c:4]([CH3:4])[cH:4][cH:3]1)[Cl:4]
30,Cc1ccc([Mg]I)cc1,[Mg]([c:1]1[cH:2][cH:4][c:4]([CH3:4])[cH:4][cH:3]1)[I:4]
31,Br[Mg]c1ccccc1,[Mg]([c:1]1[cH:2][cH:4][cH:4][cH:4][cH:3]1)[Br:4]
