,number_of_atoms,charge,multiplicity,dipole,molar_mass,molar_volume,electronic_spatial_extent,E_scf,zero_point_correction,E_thermal_correction,H_thermal_correction,G_thermal_correction,E_zpe,E,H,G,stoichiometry,converged,homo_energy,lumo_energy,electronegativity,hardness,ES_root_dipole,ES_root_molar_volume,ES_root_electronic_spatial_extent,X_0,Y_0,Z_0,VBur_0,Mulliken_charge_0,APT_charge_0,NPA_charge_0,NPA_core_0,NPA_valence_0,NPA_Rydberg_0,NPA_total_0,NMR_shift_0,NMR_anisotropy_0,ES_root_Mulliken_charge_0,ES_root_NPA_charge_0,ES_root_NPA_core_0,ES_root_NPA_valence_0,ES_root_NPA_Rydberg_0,ES_root_NPA_total_0,ES_transition_0,ES_transition_1,ES_transition_2,ES_transition_3,ES_transition_4,ES_transition_5,ES_transition_6,ES_transition_7,ES_transition_8,ES_transition_9,ES_osc_strength_0,ES_osc_strength_1,ES_osc_strength_2,ES_osc_strength_3,ES_osc_strength_4,ES_osc_strength_5,ES_osc_strength_6,ES_osc_strength_7,ES_osc_strength_8,ES_osc_strength_9,ES_<S**2>_0,ES_<S**2>_1,ES_<S**2>_2,ES_<S**2>_3,ES_<S**2>_4,ES_<S**2>_5,ES_<S**2>_6,ES_<S**2>_7,ES_<S**2>_8,ES_<S**2>_9,at_0
NoLewisAcid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Br[Mg]C=C,7,0,1,3.1683,131.2547,916.026,1207.3757,-2849.84270049,0.042202,0.048044,0.048988,0.011393,-2849.814845,-2849.809003,-2849.808059,-2849.845654,C2H3BrMg,1.0,-0.26595,-0.0431,0.15452500000000002,0.11142500000000001,9.3331,824.424,1059.1594,0.68014,-0.230282,-0.000383,0.4286500943989931,0.469517,1.044989,1.23127,9.99800,0.75486,0.01587,10.76873,516.2556,281.9571,0.005908,0.62474,9.99868,1.34565,0.03093,11.37526,245.7,227.58,226.54,224.6,223.32,211.39,210.41,204.93,202.81,199.48,0.0132,0.0088,0.0399,0.1955,0.0766,0.0093,0.0002,0.0,0.0537,0.2318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg
Br[Mg]c1c(C)cccc1C,19,0,1,3.6646,209.3681,1738.573,3705.6425,-3082.13723616,0.145594,0.156382,0.157327,0.105724,-3082.006455,-3081.995667,-3081.994723,-3082.046326,C8H9BrMg,1.0,-0.23343,-0.03594,0.134685,0.098745,13.7575,2006.045,3422.9818,0.920357,0.014804,0.00021,0.5084172435494021,0.390663,1.075517,1.21762,9.99794,0.76782,0.01662,10.78238,512.6547,285.2008,-0.180271,0.58706,9.99824,1.38690,0.02779,11.41294,268.36,265.39,259.92,242.96,236.35,225.53,224.57,222.38,221.5,220.76,0.0003,0.0056,0.0145,0.1191,0.0161,0.0001,0.3272,0.0001,0.0323,0.0616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg
Br[Mg]c1cc(C)cc(c1)C,19,0,1,3.7901,209.3681,2113.137,4584.1966,-3082.13645881,0.146031,0.15684,0.157784,0.105778,-3082.006054,-3081.995245,-3081.994301,-3082.046307,C8H9BrMg,1.0,-0.231,-0.04266,0.13683,0.09417,15.4567,1911.886,4256.3323,-1.398791,-0.002684,2.4e-05,0.44815921963499056,0.433654,1.087398,1.24628,9.99790,0.73978,0.01604,10.75372,517.6974,279.1877,-0.138474,0.59763,9.99820,1.37496,0.02921,11.40237,284.43,274.45,253.46,237.53,234.72,231.13,230.47,230.45,227.18,225.22,0.0001,0.0098,0.0094,0.0003,0.1696,0.3823,0.0,0.0,0.0342,0.0796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg
Br[Mg]c1ccc(cc1)C,16,0,1,3.7897,195.3413,1385.86,4130.1916,-3042.81954059,0.118471,0.127387,0.128331,0.081692,-3042.715899,-3042.706983,-3042.706039,-3042.752678,C7H7BrMg,1.0,-0.2369,-0.04339,0.140145,0.09675500000000001,14.8786,1563.535,3824.7733,-1.230036,-0.003111,-0.000253,0.447293895531781,0.432359,1.100433,1.24683,9.99789,0.73932,0.01596,10.75317,517.3578,278.3524,-0.086753,0.62188,9.99841,1.35039,0.02932,11.37812,278.9,263.23,242.4,234.75,233.99,230.89,228.84,227.32,223.7,222.68,0.0101,0.0,0.0022,0.116,0.0,0.5613,0.0088,0.0367,0.0539,0.0179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg
Br[Mg]c1ccc(cc1)C(C)(C)C,25,0,1,3.7866,237.4217,1932.886,6934.68,-3160.755259,0.204056,0.217473,0.218418,0.161831,-3160.567296,-3160.553878,-3160.552934,-3160.609521,C10H13BrMg,1.0,-0.23669,-0.0432,0.139945,0.096745,15.6533,1531.721,6530.1582,2.408792,0.003443,-0.00016,0.446821900566394,0.431872,1.114344,1.24690,9.99789,0.73929,0.01592,10.75310,517.4177,278.8548,-0.093307,0.61804,9.99840,1.35425,0.02931,11.38196,278.5,264.58,243.26,235.48,233.86,231.94,229.06,227.19,224.39,223.64,0.0092,0.0002,0.0027,0.2239,0.0,0.5229,0.0044,0.0363,0.037,0.0387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg
Br[Mg]c1ccc(cc1)C(C)C,22,0,1,3.7534,223.3949,1782.365,6088.8709,-3121.44540808,0.17585,0.188124,0.189068,0.134376,-3121.285148,-3121.272875,-3121.271931,-3121.326622,C9H11BrMg,1.0,-0.23711,-0.04345,0.14028,0.09683,15.4131,1564.116,5736.0978,-2.074678,0.017853,-0.00055,0.44446192573945875,0.432404,1.110561,1.24702,9.99789,0.73915,0.01593,10.75298,517.4936,278.5252,-0.090521,0.61929,9.99840,1.35300,0.02930,11.38071,278.37,263.59,242.53,235.16,233.65,231.88,229.05,227.3,224.13,222.99,0.0095,0.0,0.0014,0.1884,0.0,0.5456,0.0054,0.0364,0.0604,0.0153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg
Br[Mg]c1ccc(cc1)C(F)(F)F,16,0,1,0.5086,249.3128,1172.566,6655.0199,-3340.53546743,0.095716,0.106342,0.107286,0.055968,-3340.458052,-3340.447426,-3340.446482,-3340.4978,C7H4BrF3Mg,1.0,-0.26438,-0.05447,0.159425,0.104955,10.8537,1705.551,6247.4085,2.371106,-0.001618,-0.00093,0.44713656387665196,0.452966,1.111460,1.25966,9.99799,0.72696,0.01539,10.74034,518.8384,279.1823,-0.074927,0.61919,9.99839,1.35432,0.02810,11.38081,252.95,250.0,241.29,232.18,229.87,228.05,225.49,221.07,214.46,212.52,0.0068,0.0014,0.008,0.0013,0.0375,0.0686,0.5953,0.039,0.0003,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg
Br[Mg]c1ccc(cc1)N(C)C,21,0,1,5.3459,224.3827,1819.134,6158.018,-3137.46120304,0.164307,0.175877,0.176821,0.12388,-3137.319768,-3137.308197,-3137.307253,-3137.360194,C8H10BrMgN,1.0,-0.18615,-0.03596,0.111055,0.07509500000000001,20.3809,1928.282,5673.6751,-2.065294,9.8e-05,0.000312,0.446821900566394,0.411336,1.121635,1.23536,9.99777,0.75051,0.01635,10.76464,514.7522,276.1407,-0.127120,0.61868,9.99819,1.35168,0.03145,11.38132,363.33,293.81,289.37,267.32,261.93,236.04,226.84,225.72,223.13,223.06,0.0073,0.0,0.3181,0.0254,0.0,0.5633,0.0204,0.0394,0.0104,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg
Br[Mg]c1cccc(c1)C,16,0,1,3.5585,195.3413,1489.537,3888.0118,-3042.81936839,0.118475,0.127381,0.128325,0.081617,-3042.71549,-3042.706584,-3042.70564,-3042.752349,C7H7BrMg,1.0,-0.23665,-0.0439,0.140275,0.096375,14.9118,1692.656,3581.9674,-1.112247,0.110491,0.000372,0.44485525487728134,0.435069,1.085722,1.24744,9.99791,0.73868,0.01597,10.75256,517.8846,278.6667,-0.124762,0.60403,9.99825,1.36858,0.02914,11.39597,277.03,267.64,247.66,232.86,232.4,229.61,227.45,227.05,225.57,224.66,0.0024,0.0078,0.0099,0.2425,0.0002,0.0023,0.0355,0.3088,0.002,0.0758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg
