react,fragC,fragO,product
COc1ccc2ccccc2c1,*c1ccc2ccccc2c1,*OC,c3ccc(c2ccc1ccccc1c2)cc3
COc1ccc2cc([Si](C)(C)C)ccc2c1,*c1ccc2cc([Si](C)(C)C)ccc2c1,*OC,C[Si](C)(C)c3ccc2cc(c1ccccc1)ccc2c3
COc1ccc2cc(N3CCCCC3)ccc2c1,*c1ccc2cc(N3CCCCC3)ccc2c1,*OC,c4ccc(c3ccc2cc(N1CCCCC1)ccc2c3)cc4
COc1ccc2ccc(O)cc2c1,*c1ccc2ccc(O)cc2c1,*OC,Oc3ccc2ccc(c1ccccc1)cc2c3
COc1cccc2ccccc12,*c1cccc2ccccc12,*OC,c3ccc(c1cccc2ccccc12)cc3
COc1ccc(C)cc1,*c1ccc(C)cc1,*OC,Cc2ccc(c1ccc(N(C)C)cc1)cc2
COc1ccc([C@@H](C)N(C)C)cc1,*c1ccc([C@@H](C)N(C)C)cc1,*OC,Cc1ccccc1c2ccc([C@@H](C)N(C)C)cc2
COc1ccc([C@H](C)N(C)C)cc1,*c1ccc([C@H](C)N(C)C)cc1,*OC,Cc1ccccc1c2ccc([C@H](C)N(C)C)cc2
COc1ccc(CO)cc1,*c1ccc(CO)cc1,*OC,Cc1ccccc1c2ccc(CO)cc2
COc1ccc(CCO)cc1,*c1ccc(CCO)cc1,*OC,Cc1ccccc1c2ccc(CCO)cc2
COc1ccc2ncccc2c1,*c1ccc2ncccc2c1,*OC,CN(C)c3ccc(c2ccc1ncccc1c2)cc3
COc1ccc2c(ccn2C)c1,*c1ccc2c(ccn2C)c1,*OC,Cc1ccccc1c3ccc2c(ccn2C)c3
COc1ccc2c(c1)c1ccccc1n2C,*c1ccc2c(c1)c1ccccc1n2C,*OC,Cc1ccccc1c2ccc4c(c2)c3ccccc3n4C
CCOc1ccc2ccccc2c1,*c1ccc2ccccc2c1,*OCC,c3ccc(c2ccc1ccccc1c2)cc3
CC(C)Oc1ccc2ccccc2c1,*c1ccc2ccccc2c1,*OC(C)C,c3ccc(c2ccc1ccccc1c2)cc3
C[Si](C)(C)Oc1ccc2ccccc2c1,*c1ccc2ccccc2c1,*O[Si](C)(C)C,c3ccc(c2ccc1ccccc1c2)cc3
CC(C)(C)[Si](C)(C)Oc1ccc2ccccc2c1,*c1ccc2ccccc2c1,*O[Si](C)(C)C(C)(C)C,c3ccc(c2ccc1ccccc1c2)cc3
CC[Si](C)(C)Oc1ccc2ccccc2c1,*c1ccc2ccccc2c1,*O[Si](C)(C)CC,c3ccc(c2ccc1ccccc1c2)cc3
CC(C)[Si](C)(C)Oc1ccc2ccccc2c1,*c1ccc2ccccc2c1,*O[Si](C)(C)C(C)C,c3ccc(c2ccc1ccccc1c2)cc3
C[Si](C)(Oc1ccc2ccccc2c1)c1ccccc1,*c1ccc2ccccc2c1,*O[Si](C)(C)c1ccccc1,c3ccc(c2ccc1ccccc1c2)cc3
CC[Si](CC)(CC)Oc1ccc2ccccc2c1,*c1ccc2ccccc2c1,*O[Si](CC)(CC)CC,c3ccc(c2ccc1ccccc1c2)cc3
C=CC[Si](C)(C)Oc1ccc2ccccc2c1,*c1ccc2ccccc2c1,*O[Si](C)(C)CC=C,c3ccc(c2ccc1ccccc1c2)cc3
CC(C)(C)C(=O)Oc1ccc2ccccc2c1,*c1ccc2ccccc2c1,*OC(=O)C(C)(C)C,Cc3ccc(c2ccc1ccccc1c2)cc3
CN(C)C(=O)Oc1ccc2ccccc2c1,*c1ccc2ccccc2c1,*OC(=O)N(C)C,Cc3ccc(c2ccc1ccccc1c2)cc3
COc1ccc2cc(C3CC3)ccc2c1,*c1ccc2cc(C3CC3)ccc2c1,*OC,Cc3ccc(c2ccc1cc(C4CC4)ccc1c2)cc3
COCCCCc1ccc2cc(OC)ccc2c1,*OC,*c1ccc2cc(CCCCOC)ccc2c1,Cc3ccc(c2ccc1cc(CCCCOC)ccc1c2)cc3
COc1ccc2cc(-c3ccccc3)ccc2c1,*c1ccc2cc(-c3ccccc3)ccc2c1,*OC,Cc3ccc(c2ccc1cc(c4ccccc4)ccc1c2)cc3
COc1ccc2cc(O[Si](C)(C)C)ccc2c1,*OC,*c1ccc2cc(O[Si](C)(C)C)ccc2c1,Cc3ccc(c2ccc1cc(O[Si](C)(C)C)ccc1c2)cc3
COc1ccc2cc(N3CCCC3)ccc2c1,*c1ccc2cc(N3CCCC3)ccc2c1,*OC,Cc3ccc(c2ccc1cc(N4CCCC4)ccc1c2)cc3
COc1ccc2ccccc2c1C,*c1ccc2ccccc2c1C,*OC,Cc3ccc(c2ccc1ccccc1c2(C))cc3
COc1ccc(-c2ccccc2)cc1,*c1ccc(-c2ccccc2)cc1,*OC,c1ccccc1c2ccc(c3ccc(C)cc3)cc2
COc1ccc(Oc2nc(OC)nc(OC)n2)cc1,*Oc1nc(OC)nc(OC)n1,*c1ccc(OC)cc1,COc2ccc(c1ccccc1)cc2
COc1ccc(OC(=O)N(C)C)cc1,*OC(=O)N(C)C,*c1ccc(OC)cc1,COc2ccc(c1ccccc1)cc2
COc1ccc(OC(=O)C(C)(C)C)cc1,*OC(=O)C(C)(C)C,*c1ccc(OC)cc1,COc2ccc(c1ccccc1)cc2
COc1nc(OC)nc(Oc2ccccc2OC)n1,*Oc1nc(OC)nc(OC)n1,*c1ccccc1OC,COc1ccccc1c2ccccc2
