,number_of_atoms,charge,multiplicity,dipole,molar_mass,molar_volume,electronic_spatial_extent,E_scf,zero_point_correction,E_thermal_correction,H_thermal_correction,G_thermal_correction,E_zpe,E,H,G,stoichiometry,converged,homo_energy,lumo_energy,electronegativity,hardness,ES_root_dipole,ES_root_molar_volume,ES_root_electronic_spatial_extent,X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,Y_0,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,VBur_0,VBur_1,VBur_2,VBur_3,VBur_4,VBur_5,VBur_6,VBur_7,Mulliken_charge_0,Mulliken_charge_1,Mulliken_charge_2,Mulliken_charge_3,Mulliken_charge_4,Mulliken_charge_5,Mulliken_charge_6,Mulliken_charge_7,APT_charge_0,APT_charge_1,APT_charge_2,APT_charge_3,APT_charge_4,APT_charge_5,APT_charge_6,APT_charge_7,NPA_charge_0,NPA_charge_1,NPA_charge_2,NPA_charge_3,NPA_charge_4,NPA_charge_5,NPA_charge_6,NPA_charge_7,NPA_core_0,NPA_core_1,NPA_core_2,NPA_core_3,NPA_core_4,NPA_core_5,NPA_core_6,NPA_core_7,NPA_valence_0,NPA_valence_1,NPA_valence_2,NPA_valence_3,NPA_valence_4,NPA_valence_5,NPA_valence_6,NPA_valence_7,NPA_Rydberg_0,NPA_Rydberg_1,NPA_Rydberg_2,NPA_Rydberg_3,NPA_Rydberg_4,NPA_Rydberg_5,NPA_Rydberg_6,NPA_Rydberg_7,NPA_total_0,NPA_total_1,NPA_total_2,NPA_total_3,NPA_total_4,NPA_total_5,NPA_total_6,NPA_total_7,NMR_shift_0,NMR_shift_1,NMR_shift_2,NMR_shift_3,NMR_shift_4,NMR_shift_5,NMR_shift_6,NMR_shift_7,NMR_anisotropy_0,NMR_anisotropy_1,NMR_anisotropy_2,NMR_anisotropy_3,NMR_anisotropy_4,NMR_anisotropy_5,NMR_anisotropy_6,NMR_anisotropy_7,ES_root_Mulliken_charge_0,ES_root_Mulliken_charge_1,ES_root_Mulliken_charge_2,ES_root_Mulliken_charge_3,ES_root_Mulliken_charge_4,ES_root_Mulliken_charge_5,ES_root_Mulliken_charge_6,ES_root_Mulliken_charge_7,ES_root_NPA_charge_0,ES_root_NPA_charge_1,ES_root_NPA_charge_2,ES_root_NPA_charge_3,ES_root_NPA_charge_4,ES_root_NPA_charge_5,ES_root_NPA_charge_6,ES_root_NPA_charge_7,ES_root_NPA_core_0,ES_root_NPA_core_1,ES_root_NPA_core_2,ES_root_NPA_core_3,ES_root_NPA_core_4,ES_root_NPA_core_5,ES_root_NPA_core_6,ES_root_NPA_core_7,ES_root_NPA_valence_0,ES_root_NPA_valence_1,ES_root_NPA_valence_2,ES_root_NPA_valence_3,ES_root_NPA_valence_4,ES_root_NPA_valence_5,ES_root_NPA_valence_6,ES_root_NPA_valence_7,ES_root_NPA_Rydberg_0,ES_root_NPA_Rydberg_1,ES_root_NPA_Rydberg_2,ES_root_NPA_Rydberg_3,ES_root_NPA_Rydberg_4,ES_root_NPA_Rydberg_5,ES_root_NPA_Rydberg_6,ES_root_NPA_Rydberg_7,ES_root_NPA_total_0,ES_root_NPA_total_1,ES_root_NPA_total_2,ES_root_NPA_total_3,ES_root_NPA_total_4,ES_root_NPA_total_5,ES_root_NPA_total_6,ES_root_NPA_total_7,ES_transition_0,ES_transition_1,ES_transition_2,ES_transition_3,ES_transition_4,ES_transition_5,ES_transition_6,ES_transition_7,ES_transition_8,ES_transition_9,ES_osc_strength_0,ES_osc_strength_1,ES_osc_strength_2,ES_osc_strength_3,ES_osc_strength_4,ES_osc_strength_5,ES_osc_strength_6,ES_osc_strength_7,ES_osc_strength_8,ES_osc_strength_9,ES_<S**2>_0,ES_<S**2>_1,ES_<S**2>_2,ES_<S**2>_3,ES_<S**2>_4,ES_<S**2>_5,ES_<S**2>_6,ES_<S**2>_7,ES_<S**2>_8,ES_<S**2>_9,at_0,at_1,at_2,at_3,at_4,at_5,at_6,at_7
NoLigand,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
C(CP(C1CCCCC1)C1CCCCC1)CCP(C1CCCCC1)C1CCCCC1,82,0.0,1,0.2511,450.6663,4125.653,25059.2036,-1781.03846681,0.762121,0.795239,0.796183,0.693648,-1780.290348,-1780.25723,-1780.256286,-1780.358821,C28H52P2,1.0,-0.20917,0.05641,0.07638,0.13279,1.2069,3536.274,26345.5232,3.571242,-3.315464,4.709231,2.028908,4.313461,-1.807106,-3.642091,-4.633401,-0.229005,-0.33975,1.248946,0.245666,-1.559772,-0.557184,1.514145,-1.213774,-0.931726,0.793188,-0.596177,0.050128,0.191242,-0.31295,0.531256,-0.252423,0.7063404657016992,0.703823159219635,0.750314663310258,0.6467117684078036,0.7536972938955318,0.630742605412209,0.7591252359974827,0.75558527375708,0.422584,0.410617,-0.283564,-0.46994,-0.264282,-0.463605,-0.281055,-0.259661,0.401434,0.401508,-0.077262,-0.094855,-0.076611,-0.113054,-0.047036,-0.087956,0.86419,0.86324,-0.55328,-0.7677,-0.54773,-0.76287,-0.55454,-0.55182,9.99869,9.9987,1.99924,1.99937,1.99925,1.99936,1.99923,1.99925,4.10005,4.10097,4.53738,4.75474,4.5322,4.75002,4.5378,4.53616,0.03706,0.03709,0.01666,0.0136,0.01628,0.0135,0.01751,0.01641,14.13581,14.13676,6.55328,6.7677,6.54773,6.76287,6.55454,6.55182,364.6234,363.0272,153.3622,162.3553,149.4339,163.4274,152.0896,152.8032,41.5805,33.4195,15.5271,22.2765,19.941,27.5311,16.8179,15.7425,0.417795,0.314872,-0.137845,-0.170578,-0.126372,-0.135609,-0.102357,-0.074265,0.87328,1.01635,-0.55437,-0.77331,-0.5477,-0.84715,-0.5488,-0.5726,9.99863,9.99771,1.99924,1.99936,1.99925,1.99932,1.99918,1.99918,4.08731,3.89141,4.53829,4.75951,4.53194,4.82407,4.52681,4.55221,0.04078,0.09453,0.01684,0.01444,0.01651,0.02376,0.02282,0.0212,14.12672,13.98365,6.55437,6.77331,6.5477,6.84715,6.5488,6.5726,193.38,190.94,190.68,187.61,181.76,181.22,179.66,178.76,178.38,176.68,0.1993,0.1188,0.08,0.1396,0.0025,0.0006,0.0034,0.004,0.0039,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P,P,C,C,C,C,C,C
C(CP(c1ccccc1)c1ccccc1)CP(c1ccccc1)c1ccccc1,55,0.0,1,2.8491,412.4499,3837.034,16679.004,-1727.22911047,0.452277,0.479034,0.479978,0.389242,-1726.783316,-1726.75656,-1726.755616,-1726.846352,C27H26P2,1.0,-0.21263,-0.01701,0.11482,0.09781,5.4698,3875.024,16999.8706,-2.833196,2.833133,-4.171477,-1.274293,-2.87305,1.274176,2.873154,4.171336,-0.41901,-0.41935,-1.355501,-1.175586,1.20796,-1.175633,1.207859,-1.355739,-1.198981,-1.198989,-0.32334,-0.473315,-0.303151,-0.473178,-0.30357,-0.323124,0.6676368785399622,0.6677942101950912,0.7020925110132159,0.6215387035871618,0.7110604153555695,0.6214600377595972,0.7110604153555695,0.7021711768407803,0.366735,0.366726,-0.084075,-0.456928,-0.084958,-0.456935,-0.084951,-0.084074,0.585226,0.58529,-0.109901,-0.124101,-0.182616,-0.124125,-0.182636,-0.109941,0.88803,0.88801,-0.35716,-0.76333,-0.35938,-0.76334,-0.35937,-0.35716,9.99853,9.99853,1.99895,1.99936,1.99893,1.99936,1.99893,1.99895,4.07256,4.07257,4.33651,4.75039,4.33636,4.7504,4.33635,4.33651,0.04088,0.04089,0.0217,0.01358,0.02409,0.01358,0.02409,0.0217,14.11197,14.11199,6.35716,6.76333,6.35938,6.76334,6.35937,6.35716,375.505,375.5085,53.946,154.941,53.3218,154.9421,53.3236,53.9481,46.2464,46.2242,181.6699,17.2323,183.7712,17.2329,183.7696,181.673,0.437066,0.437126,-0.080066,-0.123337,-0.114,-0.123324,-0.114012,-0.080058,1.07786,1.07804,-0.36932,-0.77731,-0.44513,-0.77733,-0.44519,-0.36934,9.99799,9.99799,1.99894,1.99935,1.99888,1.99935,1.99888,1.99894,3.87897,3.87879,4.3481,4.76338,4.42135,4.7634,4.42141,4.34811,0.04518,0.04518,0.02229,0.01458,0.0249,0.01458,0.0249,0.02229,13.92214,13.92196,6.36932,6.77731,6.44513,6.77733,6.44519,6.36934,270.24,268.34,253.28,252.36,250.2,249.65,247.7,247.23,241.69,241.17,0.0,0.1023,0.0819,0.0382,0.1097,0.0494,0.0157,0.0013,0.0207,0.0233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P,P,C,C,C,C,C,C
C1=CC(C=C1)P(C1C=CC=C1)C1C=CC=C1,31,0.0,1,1.1172,226.2573,1845.519,3466.977,-921.817052266,0.251989,0.26649,0.267434,0.209142,-921.602573,-921.588072,-921.587127,-921.64542,C15H15P,1.0,-0.20848,-0.04005,0.124265,0.084215,4.6209,1925.758,3714.9335,0.075516,0.075516,-0.468896,-0.468896,1.326841,1.326841,-1.450898,-1.450898,-0.380005,-0.380005,1.402499,1.402499,-0.780701,-0.780701,-1.373098,-1.373098,-0.839194,-0.839194,-0.419039,-0.419039,0.538526,0.538526,-0.241135,-0.241135,0.7102737570799245,0.7102737570799245,0.7220736312146003,0.7220736312146003,0.7118470736312146,0.7118470736312146,0.6948552548772813,0.6948552548772813,0.500345,0.500345,-0.383506,-0.383506,-0.359005,-0.359005,-0.381302,-0.381302,0.750304,0.750304,-0.257927,-0.257927,-0.247063,-0.247063,-0.277829,-0.277829,0.93886,0.93886,-0.6145,-0.6145,-0.59378,-0.59378,-0.60404,-0.60404,9.99859,9.99859,1.99916,1.99916,1.99919,1.99919,1.99917,1.99917,4.02456,4.02456,4.59796,4.59796,4.57791,4.57791,4.58797,4.58797,0.03799,0.03799,0.01738,0.01738,0.01669,0.01669,0.0169,0.0169,14.06114,14.06114,6.6145,6.6145,6.59378,6.59378,6.60404,6.60404,348.3596,348.3596,138.6484,138.6484,136.8918,136.8918,132.16,132.16,58.389,58.389,13.321,13.321,14.4706,14.4706,19.059,19.059,0.540493,0.540493,-0.160503,-0.160503,-0.176665,-0.176665,-0.185557,-0.185557,1.0238,1.0238,-0.63892,-0.63892,-0.57564,-0.57564,-0.58783,-0.58783,9.9982,9.9982,1.99917,1.99917,1.99917,1.99917,1.99916,1.99916,3.94038,3.94038,4.62168,4.62168,4.55976,4.55976,4.57168,4.57168,0.03762,0.03762,0.01807,0.01807,0.01672,0.01672,0.01699,0.01699,13.9762,13.9762,6.63892,6.63892,6.57564,6.57564,6.58783,6.58783,316.52,298.83,290.22,269.07,264.63,256.15,255.3,244.26,241.09,234.27,0.0013,0.004,0.0006,0.0148,0.0256,0.014,0.0274,0.0377,0.0255,0.0073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P,P,C,C,C,C,C,C
C1CC(C1)P(C1CCC1)CCP(C1CCC1)C1CCC1,52,0.0,1,2.025,310.3983,2620.011,9069.2553,-1387.75730823,0.466661,0.489893,0.490838,0.41061,-1387.307264,-1387.284032,-1387.283087,-1387.363315,C18H32P2,1.0,-0.21232,0.0351,0.08861,0.12371,7.8199,2980.263,9423.4154,2.362287,-2.106334,3.526457,0.743411,2.744764,-0.513263,-3.307071,-2.404655,-0.743245,-0.504284,-0.362738,-0.296401,0.731266,-0.611795,-1.015668,1.342639,0.376434,-0.641806,-1.044947,-0.47107,1.468063,0.356693,0.697617,-0.648133,0.6830553807426054,0.6780207677784771,0.6865953429830082,0.6554436752674638,0.6925739458779107,0.6340465701699182,0.6880113278791693,0.6943832599118943,0.396342,0.384804,-0.273616,-0.468479,-0.280287,-0.460722,-0.26571,-0.263597,0.396705,0.407254,-0.109262,-0.089554,-0.066278,-0.078072,-0.101651,-0.098938,0.86534,0.87074,-0.5607,-0.77016,-0.57424,-0.76458,-0.56957,-0.57119,9.99857,9.99856,1.9993,1.99935,1.99924,1.99936,1.99926,1.99926,4.09636,4.09095,4.54489,4.75585,4.55826,4.74999,4.55428,4.55552,0.03973,0.03975,0.0165,0.01495,0.01675,0.01524,0.01603,0.0164,14.13466,14.12926,6.5607,6.77016,6.57424,6.76458,6.56957,6.57119,375.9599,360.3615,155.3687,165.4465,153.9212,159.4232,151.0573,148.2673,34.6542,70.5195,18.032,29.2809,22.7858,28.1623,25.1316,27.7042,0.471423,0.214011,-0.095016,-0.07433,-0.117903,-0.159469,-0.122776,-0.120163,1.19475,0.72059,-0.61632,-0.79414,-0.58854,-0.81295,-0.57796,-0.56687,9.99748,9.99853,1.99924,1.99927,1.99918,1.99935,1.99926,1.99926,3.73541,4.21455,4.59675,4.77428,4.57096,4.78942,4.55997,4.54937,0.07236,0.06632,0.02032,0.02059,0.0184,0.02418,0.01873,0.01824,13.80525,14.27941,6.61632,6.79414,6.58854,6.81295,6.57796,6.56687,206.24,202.54,192.39,191.9,186.81,183.19,180.55,179.46,177.04,172.61,0.1105,0.1126,0.0992,0.0751,0.0508,0.0245,0.0251,0.0039,0.0282,0.0225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P,P,C,C,C,C,C,C
C1CC=CCCC=C1,20,0.0,1,0.0004,108.1828,1069.815,934.7003,-311.982808015,0.179943,0.187261,0.188205,0.149024,-311.812707,-311.805389,-311.804445,-311.843626,C8H12,1.0,-0.21222,-0.01111,0.111665,0.1005549999999999,0.0001,1295.833,933.516,-1.882969,-1.882876,-0.55084,0.550947,1.882975,1.882883,0.550834,-0.550951,0.789546,-0.789649,-1.299929,-1.299939,-0.789546,0.789649,1.299906,1.299963,0.111781,-0.111823,0.38237,-0.382328,0.111771,-0.111811,0.382382,-0.382317,0.5306796727501574,0.5306796727501574,0.5893643801132787,0.5893643801132787,0.5306796727501574,0.5306796727501574,0.5893643801132787,0.5893643801132787,-0.300155,-0.300147,-0.091616,-0.091614,-0.300155,-0.300147,-0.091615,-0.091615,0.158903,0.158907,-0.051522,-0.051528,0.158903,0.158907,-0.051511,-0.05154,-0.47055,-0.47055,-0.21498,-0.21498,-0.47055,-0.47055,-0.21498,-0.21498,1.99928,1.99928,1.99895,1.99895,1.99928,1.99928,1.99895,1.99895,4.45929,4.45929,4.20073,4.20073,4.45929,4.45929,4.20073,4.20073,0.01199,0.01199,0.0153,0.0153,0.01199,0.01199,0.0153,0.0153,6.47055,6.47055,6.21498,6.21498,6.47055,6.47055,6.21498,6.21498,154.9969,154.9973,52.49,52.4886,154.9979,154.998,52.4876,52.4912,13.3784,13.3786,152.7123,152.7114,13.3771,13.3776,152.7142,152.7092,-0.017395,-0.017384,0.017388,0.017392,-0.017394,-0.017384,0.017388,0.017389,-0.47516,-0.47516,-0.2198,-0.2198,-0.47516,-0.47516,-0.2198,-0.2198,1.99929,1.99929,1.99898,1.99898,1.99929,1.99929,1.99898,1.99898,4.46262,4.46262,4.19702,4.19702,4.46262,4.46262,4.19702,4.19702,0.01326,0.01326,0.0238,0.0238,0.01326,0.01326,0.0238,0.0238,6.47516,6.47516,6.2198,6.2198,6.47516,6.47516,6.2198,6.2198,255.2,236.9,196.67,181.43,171.81,165.91,161.67,159.06,158.44,157.96,0.0258,0.0028,0.028,0.1499,0.001,0.0006,0.3587,0.0003,0.0002,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,C,C,C,C,C,C
C1CCC(C1)P(C1CCCC1)CCP(C1CCCC1)C1CCCC1,64,0.0,1,0.0761,366.5055,4436.114,12893.1981,-1545.12251206,0.586739,0.614214,0.615158,0.522602,-1544.552596,-1544.525121,-1544.524177,-1544.616733,C22H40P2,1.0,-0.20894,0.03713,0.085905,0.1230349999999999,0.889,3829.466,13316.3956,2.364495,-1.948195,3.664515,0.852787,2.794786,-0.435424,-2.288386,-3.238595,-0.070195,-0.175705,-0.926536,-0.378163,1.736721,0.291872,-1.900903,0.904268,0.769177,-0.832589,-0.285645,-0.311458,0.440228,0.192488,-0.151815,0.007257,0.6920232850849591,0.6931246066708622,0.722781623662681,0.6548930144745123,0.7340308370044053,0.6685022026431718,0.7315135305223411,0.7373348017621145,0.396388,0.40703,-0.266351,-0.465224,-0.284191,-0.475194,-0.28615,-0.269831,0.444089,0.432034,-0.105593,-0.094768,-0.077047,-0.084834,-0.064313,-0.114865,0.87894,0.87582,-0.56449,-0.77081,-0.57202,-0.76448,-0.56738,-0.56579,9.99864,9.99863,1.99926,1.99936,1.99925,1.99936,1.99924,1.99924,4.08347,4.08699,4.5494,4.7565,4.55626,4.75023,4.55144,4.55096,0.03895,0.03856,0.01583,0.01495,0.01651,0.0149,0.0167,0.01559,14.12106,14.12418,6.56449,6.77081,6.57202,6.76448,6.56738,6.56579,369.9566,373.9534,148.2997,163.3031,149.6362,162.5663,150.0361,149.9827,55.0673,40.8522,28.8005,28.1605,27.4008,26.7677,31.4349,28.4084,0.381018,0.34622,-0.105467,-0.124392,-0.118673,-0.13792,-0.12014,-0.109622,1.02583,0.93506,-0.60026,-0.80447,-0.56978,-0.81309,-0.56341,-0.57843,9.99786,9.99806,1.99923,1.99932,1.99921,1.99932,1.99921,1.99921,3.90574,4.00116,4.58164,4.78447,4.55274,4.79105,4.54627,4.56154,0.07057,0.06571,0.0194,0.02069,0.01783,0.02272,0.01793,0.01767,13.97417,14.06494,6.60026,6.80447,6.56978,6.81309,6.56341,6.57843,208.13,201.71,189.6,188.54,185.88,184.35,181.98,181.31,179.98,177.12,0.2187,0.0177,0.0219,0.0416,0.1844,0.0208,0.0167,0.0173,0.003,0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P,P,C,C,C,C,C,C
C1CCC(CC1)P(C1CCCCC1)C1CCCCC1,52,0.0,1,1.298,280.4325,2896.12,6992.0533,-1047.1554545,0.485942,0.505302,0.506246,0.438834,-1046.685769,-1046.666409,-1046.665464,-1046.732877,C18H33P,1.0,-0.20578,0.05227,0.0767549999999999,0.129025,1.4609,2680.451,7009.1971,0.118512,0.118512,1.795592,1.795592,-0.832041,-0.832041,-0.686574,-0.686574,0.044141,0.044141,-0.100882,-0.100882,-1.500784,-1.500784,1.454008,1.454008,-0.922007,-0.922007,-0.013331,-0.013331,-0.353596,-0.353596,0.070561,0.070561,0.7271869100062933,0.7271869100062933,0.762901195720579,0.762901195720579,0.7747797356828194,0.7747797356828194,0.7662838263058528,0.7662838263058528,0.407586,0.407586,-0.273393,-0.273393,-0.285048,-0.285048,-0.264651,-0.264651,0.369745,0.369745,-0.064883,-0.064883,-0.069748,-0.069748,-0.065228,-0.065228,0.85987,0.85987,-0.54436,-0.54436,-0.5562,-0.5562,-0.54635,-0.54635,9.9987,9.9987,1.99924,1.99924,1.99923,1.99923,1.99925,1.99925,4.10568,4.10568,4.52884,4.52884,4.54052,4.54052,4.5302,4.5302,0.03575,0.03575,0.01629,0.01629,0.01645,0.01645,0.01691,0.01691,14.14013,14.14013,6.54436,6.54436,6.5562,6.5562,6.54635,6.54635,350.6308,350.6308,152.0723,152.0723,153.2711,153.2711,150.0477,150.0477,68.5256,68.5256,19.2389,19.2389,15.0145,15.0145,19.2423,19.2423,0.30393,0.30393,-0.109246,-0.109246,-0.070595,-0.070595,-0.09809,-0.09809,1.01145,1.01145,-0.55429,-0.55429,-0.55988,-0.55988,-0.63502,-0.63502,9.9977,9.9977,1.99917,1.99917,1.99917,1.99917,1.9992,1.9992,3.88905,3.88905,4.53375,4.53375,4.54017,4.54017,4.60805,4.60805,0.1018,0.1018,0.02136,0.02136,0.02053,0.02053,0.02777,0.02777,13.98855,13.98855,6.55429,6.55429,6.55988,6.55988,6.63502,6.63502,199.33,192.42,183.28,169.36,166.32,162.87,161.32,158.16,157.41,155.91,0.1118,0.1062,0.0145,0.0038,0.0042,0.0275,0.0024,0.0606,0.0122,0.0246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P,P,C,C,C,C,C,C
C1CCC(CC1)P(C1CCCCC1)C1CCCCC1.CC(N1C=CN(C1)C(C)(C)C)(C)C,87,0.0,1,2.0312,462.7407,4952.289,19917.7197,-1589.02668873,0.805629,0.842626,0.84357,0.732117,-1588.254296,-1588.217299,-1588.216355,-1588.327808,C29H55N2P,1.0,-0.15226,0.04751,0.052375,0.099885,14.0366,4406.698,19568.7935,3.27252,3.27252,2.800933,2.800933,1.669104,1.669104,3.410885,3.410885,-0.519318,-0.519318,1.298396,1.298396,-1.403401,-1.403401,-1.282559,-1.282559,0.983597,0.983597,0.67746,0.67746,1.505879,1.505879,-0.760388,-0.760388,0.7266362492133417,0.7266362492133417,0.7658904971680303,0.7658904971680303,0.7710037759597231,0.7710037759597231,0.7579452485840151,0.7579452485840151,0.407914,0.407914,-0.268337,-0.268337,-0.289713,-0.289713,-0.274478,-0.274478,0.364231,0.364231,-0.079358,-0.079358,-0.036005,-0.036005,-0.054896,-0.054896,0.85718,0.85718,-0.55218,-0.55218,-0.55283,-0.55283,-0.54103,-0.54103,9.9987,9.9987,1.99924,1.99924,1.99923,1.99923,1.99923,1.99923,4.1084,4.1084,4.53705,4.53705,4.53638,4.53638,4.5245,4.5245,0.03573,0.03573,0.01588,0.01588,0.01723,0.01723,0.01731,0.01731,14.14282,14.14282,6.55218,6.55218,6.55283,6.55283,6.54103,6.54103,351.0795,351.0795,152.9265,152.9265,149.334,149.334,150.9686,150.9686,57.0793,57.0793,14.3208,14.3208,19.5455,19.5455,20.3214,20.3214,0.380281,0.380281,-0.156691,-0.156691,-0.15644,-0.15644,-0.137924,-0.137924,0.83272,0.83272,-0.55573,-0.55573,-0.5507,-0.5507,-0.54176,-0.54176,9.99869,9.99869,1.99923,1.99923,1.99923,1.99923,1.99923,1.99923,4.13013,4.13013,4.53967,4.53967,4.53333,4.53333,4.52449,4.52449,0.03845,0.03845,0.01682,0.01682,0.01814,0.01814,0.01804,0.01804,14.16728,14.16728,6.55573,6.55573,6.5507,6.5507,6.54176,6.54176,256.11,246.21,232.2,230.39,217.4,214.04,207.17,202.07,201.67,199.6,0.0294,0.1403,0.0119,0.0129,0.0018,0.0129,0.008,0.0638,0.0025,0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P,P,C,C,C,C,C,C
C1CCC(CC1)P(C1CCCCC1)CCP(C1CCCCC1)C1CCCCC1,76,0.0,1,2.1797,422.6127,3791.286,15736.1554,-1702.40901184,0.705515,0.735709,0.736653,0.64195,-1701.717549,-1701.687355,-1701.686411,-1701.781114,C26H48P2,1.0,-0.2083,0.04512,0.08159,0.12671,7.5849,3864.903,16048.733,1.949259,-2.418783,2.556137,0.298093,3.055895,-0.580713,-2.327133,-3.038512,0.788668,-0.784885,1.584027,0.108985,-0.745267,-0.506983,-1.588469,0.97288,-0.887427,-1.035334,0.726149,-0.27256,-1.025175,-1.374871,0.682434,-0.650205,0.7084644430459408,0.70303650094399,0.7488200125865324,0.7250629326620516,0.7592039018250472,0.676604782882316,0.7595972309628697,0.7606198867212083,0.411864,0.403096,-0.263565,-0.474489,-0.278593,-0.484748,-0.258939,-0.26444,0.406321,0.388205,-0.099562,-0.130871,-0.072053,-0.102036,-0.075557,-0.083621,0.86375,0.86228,-0.54882,-0.77154,-0.55657,-0.77469,-0.54887,-0.55258,9.9987,9.99871,1.99925,1.99934,1.99923,1.99935,1.99925,1.99925,4.10022,4.10198,4.53328,4.75686,4.54046,4.7605,4.53255,4.53724,0.03733,0.03702,0.0163,0.01534,0.01688,0.01483,0.01708,0.0161,14.13625,14.13772,6.54882,6.77154,6.55657,6.77469,6.54887,6.55258,359.0869,361.5808,152.5478,170.2984,153.3668,166.6394,151.1049,153.1555,39.9908,44.6926,16.278,20.7707,15.1642,32.0345,17.9608,17.5719,0.216531,0.632847,-0.115623,-0.179927,-0.113436,-0.125338,-0.097966,-0.102233,0.70593,1.31761,-0.54413,-0.82967,-0.55352,-0.78154,-0.55855,-0.55586,9.99852,9.99773,1.99924,1.9993,1.99922,1.99929,1.99917,1.99919,4.21899,3.64937,4.52612,4.80516,4.53387,4.76876,4.54348,4.54092,0.07656,0.03529,0.01878,0.02521,0.02043,0.01349,0.0159,0.01575,14.29407,13.68239,6.54413,6.82967,6.55352,6.78154,6.55855,6.55586,201.19,199.31,198.56,194.76,189.66,185.2,183.04,182.35,181.71,177.67,0.0058,0.0689,0.1777,0.0675,0.0972,0.027,0.0279,0.0105,0.0483,0.0317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P,P,C,C,C,C,C,C
