react,C0C7_num
C1=CC(P(C2C=CC=C2)C2C=CC=C2)C=C1,P([CH:1]1[CH:4]=[CH:4][CH:4]=[CH:4]1)([CH:2]1[CH:4]=[CH:4][CH:4]=[CH:4]1)[CH:3]1[CH:4]=[CH:4][CH:4]=[CH:4]1
C1=CCCC=CCC1,C1=CCCC=CCC1
C1CC(P(CCP(C2CCC2)C2CCC2)C2CCC2)C1,P([CH:2]1[CH2:8][CH2:8][CH2:8]1)([CH2:3][CH2:5][P:1]([CH:6]1[CH2:8][CH2:8][CH2:8]1)[CH:7]1[CH2:8][CH2:8][CH2:8]1)[CH:4]1[CH2:8][CH2:8][CH2:8]1
C1CCC(P(C2CCCCC2)C23C4C5C6C2[Fe]56432789C3C2C7C8(P(C2CCCCC2)C2CCCCC2)C39)CC1,P([CH:2]1[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]1)([CH:3]1[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]1)[C:4]12[CH:8]3[CH:8]4[CH:8]5[CH:8]1[Fe:8]23451678[C:5]2([P:1]([CH:6]3[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]3)[CH:7]3[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]3)[CH:8]1[CH:8]6[CH:8]7[CH:8]28
C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,P([CH:1]1[CH2:4][CH2:4][CH2:4][CH2:4][CH2:4]1)([CH:2]1[CH2:4][CH2:4][CH2:4][CH2:4][CH2:4]1)[CH:3]1[CH2:4][CH2:4][CH2:4][CH2:4][CH2:4]1
C1CCC(P(C2CCCCC2)C2CCCCC2)CC1.CC(C)(C)N1C=CN(C(C)(C)C)C1,P([CH:1]1[CH2:4][CH2:4][CH2:4][CH2:4][CH2:4]1)([CH:2]1[CH2:4][CH2:4][CH2:4][CH2:4][CH2:4]1)[CH:3]1[CH2:4][CH2:4][CH2:4][CH2:4][CH2:4]1.[CH3:4][C:4]([CH3:4])([CH3:4])[N:4]1[CH:4]=[CH:4][N:4]([C:4]([CH3:4])([CH3:4])[CH3:4])[CH2:4]1
C1CCC(P(C2CCCCC2)C2CCCCC2)CC1.CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)C1,P([CH:1]1[CH2:4][CH2:4][CH2:4][CH2:4][CH2:4]1)([CH:2]1[CH2:4][CH2:4][CH2:4][CH2:4][CH2:4]1)[CH:3]1[CH2:4][CH2:4][CH2:4][CH2:4][CH2:4]1.[CH3:4][CH:4]([CH3:4])[c:4]1[cH:4][cH:4][cH:4][c:4]([CH:4]([CH3:4])[CH3:4])[c:4]1[N:4]1[CH:4]=[CH:4][N:4]([c:4]2[c:4]([CH:4]([CH3:4])[CH3:4])[cH:4][cH:4][cH:4][c:4]2[CH:4]([CH3:4])[CH3:4])[CH2:4]1
C1CCC(P(CCCCP(C2CCCCC2)C2CCCCC2)C2CCCCC2)CC1,P([CH:2]1[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]1)([CH2:3][CH2:8][CH2:8][CH2:5][P:1]([CH:6]1[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]1)[CH:7]1[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]1)[CH:4]1[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]1
C1CCC(P(CCP(C2CCCC2)C2CCCC2)C2CCCC2)C1,P([CH:2]1[CH2:8][CH2:8][CH2:8][CH2:8]1)([CH2:3][CH2:5][P:1]([CH:6]1[CH2:8][CH2:8][CH2:8][CH2:8]1)[CH:7]1[CH2:8][CH2:8][CH2:8][CH2:8]1)[CH:4]1[CH2:8][CH2:8][CH2:8][CH2:8]1
C1CCC(P(CCP(C2CCCCC2)C2CCCCC2)C2CCCCC2)CC1,P([CH:2]1[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]1)([CH2:3][CH2:5][P:1]([CH:6]1[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]1)[CH:7]1[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]1)[CH:4]1[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]1
