,number_of_atoms,charge,multiplicity,dipole,molar_mass,molar_volume,electronic_spatial_extent,E_scf,zero_point_correction,E_thermal_correction,H_thermal_correction,G_thermal_correction,E_zpe,E,H,G,stoichiometry,converged,homo_energy,lumo_energy,electronegativity,hardness,ES_root_dipole,ES_root_molar_volume,ES_root_electronic_spatial_extent,X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,Y_0,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,VBur_0,VBur_1,VBur_2,VBur_3,VBur_4,VBur_5,VBur_6,VBur_7,Mulliken_charge_0,Mulliken_charge_1,Mulliken_charge_2,Mulliken_charge_3,Mulliken_charge_4,Mulliken_charge_5,Mulliken_charge_6,Mulliken_charge_7,APT_charge_0,APT_charge_1,APT_charge_2,APT_charge_3,APT_charge_4,APT_charge_5,APT_charge_6,APT_charge_7,NPA_charge_0,NPA_charge_1,NPA_charge_2,NPA_charge_3,NPA_charge_4,NPA_charge_5,NPA_charge_6,NPA_charge_7,NPA_core_0,NPA_core_1,NPA_core_2,NPA_core_3,NPA_core_4,NPA_core_5,NPA_core_6,NPA_core_7,NPA_valence_0,NPA_valence_1,NPA_valence_2,NPA_valence_3,NPA_valence_4,NPA_valence_5,NPA_valence_6,NPA_valence_7,NPA_Rydberg_0,NPA_Rydberg_1,NPA_Rydberg_2,NPA_Rydberg_3,NPA_Rydberg_4,NPA_Rydberg_5,NPA_Rydberg_6,NPA_Rydberg_7,NPA_total_0,NPA_total_1,NPA_total_2,NPA_total_3,NPA_total_4,NPA_total_5,NPA_total_6,NPA_total_7,NMR_shift_0,NMR_shift_1,NMR_shift_2,NMR_shift_3,NMR_shift_4,NMR_shift_5,NMR_shift_6,NMR_shift_7,NMR_anisotropy_0,NMR_anisotropy_1,NMR_anisotropy_2,NMR_anisotropy_3,NMR_anisotropy_4,NMR_anisotropy_5,NMR_anisotropy_6,NMR_anisotropy_7,ES_root_Mulliken_charge_0,ES_root_Mulliken_charge_1,ES_root_Mulliken_charge_2,ES_root_Mulliken_charge_3,ES_root_Mulliken_charge_4,ES_root_Mulliken_charge_5,ES_root_Mulliken_charge_6,ES_root_Mulliken_charge_7,ES_root_NPA_charge_0,ES_root_NPA_charge_1,ES_root_NPA_charge_2,ES_root_NPA_charge_3,ES_root_NPA_charge_4,ES_root_NPA_charge_5,ES_root_NPA_charge_6,ES_root_NPA_charge_7,ES_root_NPA_core_0,ES_root_NPA_core_1,ES_root_NPA_core_2,ES_root_NPA_core_3,ES_root_NPA_core_4,ES_root_NPA_core_5,ES_root_NPA_core_6,ES_root_NPA_core_7,ES_root_NPA_valence_0,ES_root_NPA_valence_1,ES_root_NPA_valence_2,ES_root_NPA_valence_3,ES_root_NPA_valence_4,ES_root_NPA_valence_5,ES_root_NPA_valence_6,ES_root_NPA_valence_7,ES_root_NPA_Rydberg_0,ES_root_NPA_Rydberg_1,ES_root_NPA_Rydberg_2,ES_root_NPA_Rydberg_3,ES_root_NPA_Rydberg_4,ES_root_NPA_Rydberg_5,ES_root_NPA_Rydberg_6,ES_root_NPA_Rydberg_7,ES_root_NPA_total_0,ES_root_NPA_total_1,ES_root_NPA_total_2,ES_root_NPA_total_3,ES_root_NPA_total_4,ES_root_NPA_total_5,ES_root_NPA_total_6,ES_root_NPA_total_7,ES_transition_0,ES_transition_1,ES_transition_2,ES_transition_3,ES_transition_4,ES_transition_5,ES_transition_6,ES_transition_7,ES_transition_8,ES_transition_9,ES_osc_strength_0,ES_osc_strength_1,ES_osc_strength_2,ES_osc_strength_3,ES_osc_strength_4,ES_osc_strength_5,ES_osc_strength_6,ES_osc_strength_7,ES_osc_strength_8,ES_osc_strength_9,ES_<S**2>_0,ES_<S**2>_1,ES_<S**2>_2,ES_<S**2>_3,ES_<S**2>_4,ES_<S**2>_5,ES_<S**2>_6,ES_<S**2>_7,ES_<S**2>_8,ES_<S**2>_9,at_0,at_1,at_2,at_3,at_4,at_5,at_6,at_7
COc1ccc(cc1)C,19,0,1,1.2759,122.1664,1114.154,1408.3705,-386.087012954,0.161012,0.168919,0.169863,0.128438,-385.927598,-385.919691,-385.918746,-385.960171,C8H10O,1.0,-0.2077,0.00456,0.10157,0.10613,1.9907,1228.846,1416.3316,-0.968474,-2.305441,-0.104516,-0.430987,1.272673,1.834811,0.955797,-3.223087,0.279623,0.569492,1.382068,-1.012605,1.189184,-0.095906,-1.183141,-0.51001,0.000963,0.002013,-0.00134,-0.00349,-0.005327,-0.00585,-0.007529,0.004842,0.6094241661422278,0.49307740717432347,0.5144745122718691,0.5553020767778477,0.5277690371302706,0.6084801762114538,0.5306796727501574,0.38097860289490243,0.370684,-0.508713,-0.169808,-0.192828,-0.186888,0.178221,-0.188757,-0.212795,0.590518,-0.892067,-0.126075,-0.153783,0.035332,-0.027671,0.033668,0.558345,0.31099,-0.52300,-0.26835,-0.31431,-0.21817,-0.06212,-0.21211,-0.31573,1.99878,1.99974,1.99903,1.99902,1.99904,1.99902,1.99904,1.99944,3.66840,6.51156,4.25519,4.30329,4.20658,4.04917,4.20007,4.30225,0.02183,0.01169,0.01413,0.01200,0.01255,0.01393,0.01300,0.01405,5.68901,8.52300,6.26835,6.31431,6.21817,6.06212,6.21211,6.31573,40.9016,241.1136,78.9255,86.5697,65.9059,67.4393,66.818,137.5824,126.0825,74.2108,133.5952,142.6169,144.4855,167.0715,151.8775,64.7108,0.351261,-0.447183,-0.067008,-0.077262,-0.098780,0.201419,-0.110306,0.293130,0.33021,-0.42720,-0.32126,-0.33251,-0.27914,0.04068,-0.29609,-0.32497,1.99878,1.99975,1.99906,1.99905,1.99907,1.99904,1.99907,1.99942,3.64792,6.41578,4.30132,4.31596,4.26211,3.94470,4.27742,4.31143,0.02309,0.01167,0.02087,0.01749,0.01797,0.01558,0.01960,0.01412,5.66979,8.42720,6.32126,6.33251,6.27914,5.95932,6.29609,6.32497,244.59,211.97,179.33,176.98,171.37,163.26,161.38,158.78,156.04,151.79,0.0323,0.1564,0.4937,0.4397,0.0054,0.0013,0.0079,0.1227,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,O,C,C,C,C,C,C
COc1ccc2c(c1)cccc2,22,0,1,1.1745,158.1994,1421.914,2212.0661,-500.411772402,0.18062,0.189995,0.190939,0.146026,-500.23573,-500.226356,-500.225412,-500.270325,C11H10O,1.0,-0.20373,-0.02992,0.116825,0.086905,2.6734,1421.914,2225.4182,1.719518,3.080406,1.230082,0.839358,-0.118936,-1.060416,-0.564995,3.650363,0.300694,0.19811,1.636878,-0.762596,1.879266,0.811485,-0.531581,-1.100519,-0.000236,-0.000161,4e-06,-0.000165,7.6e-05,2.3e-05,-1.9e-05,0.000249,0.6110761485210825,0.4956733794839522,0.51431718061674,0.592039018250472,0.5245437382001259,0.6497797356828194,0.6510383889238515,0.38223725613593457,0.374998,-0.508807,-0.168529,-0.277318,-0.195778,0.135141,0.136640,-0.213463,0.688353,-0.942238,-0.125951,-0.229140,0.085125,-0.106386,0.108516,0.532051,0.32172,-0.51876,-0.26134,-0.30849,-0.19581,-0.07498,-0.03891,-0.31654,1.99880,1.99974,1.99903,1.99898,1.99906,1.99901,1.99902,1.99943,3.65726,6.50730,4.24804,4.29838,4.18383,4.06225,4.02545,4.30314,0.02222,0.01171,0.01426,0.01113,0.01291,0.01373,0.01443,0.01397,5.67828,8.51876,6.26134,6.30849,6.19581,6.07498,6.03891,6.31654,40.2664,235.0403,76.5992,89.9507,66.3077,67.9401,62.0796,137.3398,123.1532,81.1209,134.7254,118.0927,142.9307,191.7145,195.3873,65.478,0.380801,-0.462030,-0.072221,-0.128079,-0.084877,0.149956,0.134498,0.291315,0.37079,-0.45251,-0.34724,-0.27295,-0.21840,-0.04603,-0.05086,-0.32579,1.99880,1.99975,1.99905,1.99899,1.99907,1.99902,1.99904,1.99943,3.60782,6.44099,4.33062,4.26092,4.20396,4.03192,4.03604,4.31217,0.02259,0.01178,0.01756,0.01304,0.01537,0.01509,0.01578,0.01419,5.62921,8.45251,6.34724,6.27295,6.21840,6.04603,6.05086,6.32579,293.83,270.17,218.62,212.66,208.95,199.11,189.31,184.77,181.12,172.8,0.0384,0.0111,0.4211,0.2546,0.5812,0.1217,0.1225,0.0217,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,O,C,C,C,C,C,C
OCCc1ccc(cc1)OC,23,0,1,2.2007,152.1926,1340.848,2603.3111,-500.604057732,0.194937,0.205938,0.206882,0.157326,-500.41131,-500.400308,-500.399364,-500.44892,C9H12O2,1.0,-0.21141,0.00256,0.10442499999999999,0.106985,2.9593,1690.634,2603.4238,1.917657,3.248315,1.327719,1.119415,-0.04806,-0.860716,-0.245324,4.101909,0.262963,0.47072,-0.989916,1.415146,-1.074242,0.061461,1.308434,-0.65957,0.024628,0.259452,-0.172833,-0.019257,-0.408154,-0.453788,-0.254835,0.314003,0.6098174952800504,0.49268407803650094,0.5538074260541221,0.512114537444934,0.5412995594713657,0.6491504090623034,0.5417715544367526,0.38294524858401513,0.372199,-0.507634,-0.193618,-0.170670,-0.193555,0.160959,-0.185970,-0.213646,0.611390,-0.908035,-0.157938,-0.135224,0.038608,-0.042533,0.041886,0.560380,0.31426,-0.52204,-0.31570,-0.26769,-0.21062,-0.06849,-0.21609,-0.31619,1.99878,1.99974,1.99902,1.99903,1.99903,1.99901,1.99903,1.99943,3.66510,6.51060,4.30459,4.25442,4.19830,4.05335,4.20428,4.30273,0.02186,0.01170,0.01209,0.01423,0.01329,0.01613,0.01278,0.01403,5.68574,8.52204,6.31570,6.26769,6.21062,6.06849,6.21609,6.31619,40.2437,239.5284,86.6461,78.3834,65.9514,66.6093,65.8469,137.6025,126.9203,76.801,142.1949,134.5546,148.9098,168.1738,150.827,64.8275,0.351616,-0.446984,-0.077976,-0.064064,-0.105530,0.181164,-0.097715,0.294149,0.32954,-0.42756,-0.33602,-0.31406,-0.28312,0.03450,-0.28687,-0.32524,1.99879,1.99975,1.99905,1.99906,1.99907,1.99903,1.99906,1.99942,3.64856,6.41612,4.31939,4.29419,4.26483,3.94868,4.26944,4.31171,0.02311,0.01169,0.01758,0.02081,0.01922,0.01779,0.01836,0.01411,5.67046,8.42756,6.33602,6.31406,6.28312,5.96550,6.28687,6.32524,243.68,212.59,187.53,181.46,178.6,177.45,171.22,168.98,163.1,160.67,0.0277,0.187,0.0732,0.092,0.5383,0.2543,0.0288,0.0003,0.0012,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,O,C,C,C,C,C,C
OCc1ccc(cc1)OC,20,0,1,1.0039,138.1658,1325.584,1864.2988,-461.288269707,0.166201,0.17586,0.176804,0.130694,-461.123882,-461.114222,-461.113278,-461.159389,C8H10O2,1.0,-0.20838,0.00593,0.10122500000000001,0.107155,1.2683,1209.595,1858.133,-1.421466,-2.782518,-0.72705,-0.705388,0.669064,1.393225,0.682949,-3.556194,0.267223,0.382302,-0.942851,1.471148,-0.937463,0.254323,1.456831,-0.804656,-0.010156,-0.073552,0.099334,-0.068509,0.158463,0.101928,-0.018584,-0.029316,0.6092668344870988,0.49402139710509757,0.5549874134675897,0.5129798615481435,0.5473568281938326,0.6331812460667087,0.5291063561988673,0.38184392699811204,0.375017,-0.508827,-0.197406,-0.172593,-0.173037,0.139268,-0.185887,-0.213438,0.610386,-0.900882,-0.153095,-0.143542,0.035301,-0.112035,0.055801,0.558408,0.31480,-0.52254,-0.31506,-0.26965,-0.20299,-0.09401,-0.21696,-0.31610,1.99879,1.99974,1.99902,1.99903,1.99904,1.99900,1.99904,1.99943,3.66456,6.51112,4.30411,4.25640,4.18997,4.07976,4.20534,4.30265,0.02186,0.01168,0.01193,0.01422,0.01398,0.01525,0.01258,0.01402,5.68520,8.52254,6.31506,6.26965,6.20299,6.09401,6.21696,6.31610,39.8441,239.2433,86.3242,79.3826,68.325,64.4267,69.5768,137.5658,125.8413,75.7046,143.6947,133.4919,171.5525,160.0338,149.7487,64.681,0.355634,-0.450640,-0.082874,-0.067255,-0.065172,0.162692,-0.102572,0.292028,0.32958,-0.43200,-0.33628,-0.31406,-0.27590,0.00621,-0.28702,-0.32466,1.99879,1.99975,1.99905,1.99907,1.99907,1.99902,1.99907,1.99942,3.64850,6.42056,4.31995,4.29412,4.25706,3.97789,4.26956,4.31115,0.02312,0.01168,0.01728,0.02087,0.01977,0.01688,0.01839,0.01410,5.67042,8.43200,6.33628,6.31406,6.27590,5.99379,6.28702,6.32466,244.0,215.22,186.9,183.7,180.41,178.41,173.86,167.31,162.46,159.66,0.0254,0.2011,0.0252,0.1806,0.233,0.2531,0.2023,0.0139,0.0018,0.0084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,O,C,C,C,C,C,C
CC(Oc1ccc2c(c1)cccc2)C,28,0,1,1.1931,186.253,2191.741,3471.5787,-579.046324108,0.236925,0.249092,0.250036,0.19851,-578.81505,-578.802883,-578.801939,-578.853465,C13H14O,1.0,-0.20099,-0.0289,0.114945,0.086045,3.2143,1965.789,3490.1558,0.921343,2.282666,0.273971,0.167358,-1.093693,-1.904427,-1.25376,3.081732,0.614478,0.693592,1.872801,-0.538019,1.952995,0.78917,-0.476246,-0.496299,-0.027524,-0.069554,0.132746,-0.13799,0.173754,0.059192,-0.099479,-0.20531,0.6341252359974827,0.5966016362492134,0.5150251730648207,0.610840151038389,0.5228917558212712,0.6487570799244808,0.6504877281309,0.6208307111390812,0.382637,-0.536254,-0.174730,-0.276372,-0.194952,0.134804,0.136014,0.139273,0.754982,-1.058689,-0.141884,-0.254366,0.090411,-0.117077,0.129517,0.644504,0.32772,-0.54048,-0.26098,-0.30938,-0.19588,-0.07596,-0.03854,0.09282,1.99880,1.99973,1.99903,1.99898,1.99906,1.99901,1.99902,1.99914,3.65091,6.52797,4.24773,4.29952,4.18392,4.06322,4.02509,3.89062,0.02257,0.01279,0.01421,0.01089,0.01290,0.01374,0.01443,0.01741,5.67228,8.54048,6.26098,6.30938,6.19588,6.07596,6.03854,5.90718,41.5108,192.5649,76.0102,89.5895,65.9359,68.2292,62.0329,122.4247,121.1777,70.4547,133.7111,118.0512,143.2355,190.8574,195.1207,57.2246,0.387233,-0.485090,-0.081004,-0.124315,-0.086535,0.150692,0.133507,0.270809,0.37410,-0.46682,-0.34686,-0.27359,-0.22091,-0.04466,-0.05157,0.08562,1.99880,1.99973,1.99906,1.99899,1.99907,1.99902,1.99903,1.99914,3.60423,6.45417,4.33037,4.26147,4.20647,4.03057,4.03678,3.89776,0.02287,0.01291,0.01743,0.01314,0.01537,0.01507,0.01575,0.01748,5.62590,8.46682,6.34686,6.27359,6.22091,6.04466,6.05157,5.91438,297.03,270.99,220.4,213.88,210.96,199.79,190.57,185.46,183.02,174.61,0.0393,0.0097,0.4844,0.2745,0.5208,0.1503,0.1487,0.0235,0.0002,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,O,C,C,C,C,C,C
CCOc1ccc2c(c1)cccc2,25,0,1,1.6122,172.2262,1384.724,3102.6535,-539.729329654,0.208921,0.219752,0.220696,0.17204,-539.524509,-539.513678,-539.512733,-539.561389,C12H12O,1.0,-0.198,-0.03213,0.115065,0.08293500000000001,3.3431,1384.724,3119.0586,-1.201188,-2.475816,-0.891037,-0.181682,0.425195,1.493117,1.174436,-3.575805,-0.084651,-0.577088,1.301432,-1.020037,1.710268,0.779055,-0.62,0.331022,-7.6e-05,-0.000133,-5.8e-05,-5.2e-05,-2e-05,-0.0,-1.7e-05,5.5e-05,0.6120201384518565,0.5452328508495909,0.5550660792951542,0.5500314663310258,0.5250157331655129,0.6496224040276903,0.6502517306482064,0.5037759597230963,0.386270,-0.521848,-0.193361,-0.265559,-0.205503,0.139122,0.142259,-0.028196,0.710527,-1.043139,-0.160525,-0.220767,0.094592,-0.118518,0.113880,0.695298,0.32225,-0.53412,-0.30453,-0.25894,-0.18964,-0.07669,-0.04568,-0.10610,1.99880,1.99973,1.99903,1.99899,1.99907,1.99901,1.99902,1.99929,3.65706,6.52205,4.29356,4.24659,4.17720,4.06392,4.03257,4.09182,0.02189,0.01234,0.01194,0.01335,0.01338,0.01377,0.01410,0.01499,5.67775,8.53412,6.30453,6.25894,6.18964,6.07669,6.04568,6.10610,41.1821,216.9134,84.3717,82.4354,66.2725,68.3069,62.3105,128.5215,121.8679,64.27,143.7736,111.9497,143.9049,191.9288,195.8738,55.1356,0.393475,-0.476083,-0.097740,-0.117454,-0.093740,0.154769,0.143322,0.280352,0.36851,-0.46193,-0.38440,-0.23203,-0.20760,-0.04713,-0.05701,-0.11280,1.99880,1.99974,1.99905,1.99900,1.99907,1.99902,1.99903,1.99927,3.61036,6.44994,4.37060,4.21705,4.19230,4.03310,4.04271,4.09867,0.02233,0.01225,0.01475,0.01599,0.01623,0.01501,0.01527,0.01486,5.63149,8.46193,6.38440,6.23203,6.20760,6.04713,6.05701,6.11280,304.04,274.38,223.44,213.08,209.06,198.08,190.51,185.52,184.8,174.69,0.0574,0.0089,0.2404,0.9387,0.0605,0.2553,0.1108,0.0377,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,O,C,C,C,C,C,C
COc1ccc(cc1)[C@@H](N(C)C)C,30,0,1,1.7265,179.2614,1554.792,3349.1665,-559.356268254,0.263893,0.277448,0.278392,0.223832,-559.095954,-559.082399,-559.081455,-559.136015,C11H17NO,1.0,-0.20674,0.00513,0.100805,0.105935,7.5452,1649.022,3321.2351,2.376332,3.689302,1.912893,1.45704,0.539887,-0.385716,0.099538,4.6605,-0.128355,-0.386601,0.447993,-0.488679,0.657242,0.311204,-0.268361,-0.047214,0.269793,0.551404,-0.91658,1.26732,-1.089361,-0.105191,1.07927,-0.423283,0.6099748269351793,0.49410006293266207,0.5551447451227187,0.5147105097545627,0.5580553807426054,0.7216803020767778,0.5913310258023914,0.3831812460667086,0.373569,-0.507819,-0.195950,-0.173693,-0.200037,0.137630,-0.172072,-0.212998,0.627484,-0.926552,-0.163972,-0.122205,0.040279,-0.104498,0.020445,0.566641,0.31410,-0.52221,-0.31683,-0.26704,-0.21059,-0.07838,-0.21260,-0.31596,1.99878,1.99974,1.99902,1.99903,1.99902,1.99900,1.99902,1.99943,3.66526,6.51077,4.30570,4.25374,4.19827,4.06133,4.20013,4.30249,0.02186,0.01170,0.01211,0.01427,0.01331,0.01805,0.01345,0.01403,5.68590,8.52221,6.31683,6.26704,6.21059,6.07838,6.21260,6.31596,39.7766,238.8173,87.2853,77.7756,67.7508,57.8953,68.6153,137.5826,125.4311,76.1355,140.6766,135.2055,145.4481,171.1841,166.9118,64.7884,0.368771,-0.490786,-0.143959,-0.145190,-0.199663,0.153309,-0.158446,0.247176,0.34471,-0.49253,-0.39506,-0.39160,-0.34117,-0.07652,-0.33192,-0.31428,1.99878,1.99975,1.99904,1.99905,1.99904,1.99900,1.99904,1.99943,3.63335,6.48113,4.37849,4.37148,4.32274,4.05885,4.31541,4.30104,0.02316,0.01166,0.01753,0.02108,0.01939,0.01867,0.01747,0.01381,5.65529,8.49253,6.39506,6.39160,6.34117,6.07652,6.33192,6.31428,247.24,241.17,232.04,212.43,180.07,178.98,172.66,169.42,162.92,162.43,0.0128,0.014,0.0037,0.2076,0.3048,0.7297,0.0409,0.0032,0.0029,0.0062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,O,C,C,C,C,C,C
COc1ccc(cc1)[C@H](N(C)C)C,30,0,1,1.7435,179.2614,1719.712,3343.7065,-559.355730988,0.263893,0.277448,0.278392,0.223834,-559.095953,-559.082399,-559.081454,-559.136013,C11H17NO,1.0,-0.20674,0.00512,0.10081,0.10593000000000001,7.5429,1578.366,3321.1861,-2.376342,-3.689349,-1.912869,-1.457065,-0.539835,0.38575,-0.099551,-4.66034,-0.127999,-0.38601,0.44837,-0.488435,0.657469,0.31127,-0.268235,-0.047997,0.269943,0.551594,-0.916404,1.267448,-1.0892,-0.105068,1.079395,-0.423786,0.6100534927627439,0.49410006293266207,0.5552234109502832,0.5147891755821271,0.55813404657017,0.7216803020767778,0.5913310258023914,0.3832599118942731,0.373569,-0.507820,-0.195952,-0.173692,-0.200034,0.137612,-0.172074,-0.212999,0.627477,-0.926539,-0.163969,-0.122202,0.040274,-0.104489,0.020441,0.566623,0.31409,-0.52221,-0.31683,-0.26704,-0.21058,-0.07839,-0.21260,-0.31597,1.99878,1.99974,1.99902,1.99903,1.99902,1.99900,1.99902,1.99943,3.66526,6.51077,4.30570,4.25374,4.19826,4.06134,4.20013,4.30250,0.02186,0.01170,0.01211,0.01427,0.01331,0.01805,0.01345,0.01403,5.68591,8.52221,6.31683,6.26704,6.21058,6.07839,6.21260,6.31597,39.7765,238.8151,87.2829,77.7776,67.7475,57.8976,68.6183,137.5813,125.432,76.1382,140.6792,135.2048,145.4484,171.1847,166.9104,64.7875,0.368768,-0.490775,-0.143940,-0.145167,-0.199638,0.153292,-0.158411,0.247193,0.34470,-0.49251,-0.39504,-0.39158,-0.34115,-0.07650,-0.33191,-0.31429,1.99878,1.99975,1.99904,1.99905,1.99904,1.99900,1.99904,1.99943,3.63336,6.48111,4.37847,4.37145,4.32272,4.05883,4.31540,4.30104,0.02316,0.01166,0.01753,0.02108,0.01939,0.01867,0.01747,0.01381,5.65530,8.49251,6.39504,6.39158,6.34115,6.07650,6.33191,6.31429,247.24,241.17,232.03,212.43,180.07,178.99,172.65,169.42,162.92,162.43,0.0128,0.014,0.0037,0.2076,0.3048,0.7297,0.0409,0.0032,0.0029,0.0062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,O,C,C,C,C,C,C
COc1ccc2c(c1)cc(cc2)O,23,0,1,2.1686,174.1988,1379.885,2751.8183,-575.628547411,0.184622,0.195196,0.19614,0.148654,-575.448515,-575.437941,-575.436997,-575.484483,C11H10O2,1.0,-0.20292,-0.02652,0.11471999999999999,0.0882,2.8913,1309.122,2769.4069,-2.104833,-3.42801,-1.851189,-1.058208,-0.560293,0.544825,0.287315,-3.767888,0.166335,-0.168215,1.565581,-0.735398,2.028681,1.134753,-0.273208,-1.544818,-5.2e-05,-0.000226,-8.6e-05,-0.000148,-3e-06,1.4e-05,-0.000114,0.000332,0.612885462555066,0.49417872876022656,0.5134518565135305,0.5915670232850849,0.5240717432347388,0.6500943989930774,0.6504090623033354,0.38247325361862805,0.375908,-0.508397,-0.173602,-0.283208,-0.196442,0.134267,0.142496,-0.212624,0.727514,-0.947240,-0.192425,-0.255444,0.151722,-0.217543,0.215174,0.530703,0.32701,-0.51828,-0.27318,-0.31841,-0.19101,-0.09373,-0.02115,-0.31640,1.99880,1.99974,1.99903,1.99898,1.99906,1.99900,1.99903,1.99943,3.65195,6.50682,4.25980,4.30829,4.17904,4.08121,4.00729,4.30299,0.02224,0.01171,0.01435,0.01114,0.01291,0.01352,0.01483,0.01398,5.67299,8.51828,6.27318,6.31841,6.19101,6.09373,6.02115,6.31640,39.4901,234.5252,79.2907,91.8158,66.1717,72.6132,60.5744,137.2779,123.9497,82.3689,130.4842,114.8681,143.9872,184.0215,189.8637,65.3537,0.354634,-0.486203,-0.030965,-0.157731,-0.086597,0.152399,0.135995,0.270983,0.30158,-0.48437,-0.24934,-0.31936,-0.24048,-0.03022,-0.03291,-0.31933,1.99881,1.99975,1.99905,1.99900,1.99908,1.99902,1.99905,1.99943,3.67657,6.47276,4.23377,4.30781,4.22642,4.01625,4.01770,4.30581,0.02305,0.01187,0.01652,0.01255,0.01497,0.01495,0.01616,0.01409,5.69842,8.48437,6.24934,6.31936,6.24048,6.03022,6.03291,6.31933,288.65,283.57,222.02,221.38,207.43,203.06,194.93,192.48,189.73,181.04,0.0448,0.0264,0.3717,0.4001,0.6118,0.0181,0.1068,0.0,0.0457,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,O,C,C,C,C,C,C
COc1ccc2c(c1)ccc(c2)[Si](C)(C)C,34,0,1,1.0686,230.3811,2436.856,5842.6649,-909.087965348,0.282615,0.300011,0.300955,0.237562,-908.810232,-908.792837,-908.791893,-908.855285,C14H18OSi,1.0,-0.20317,-0.03021,0.11668999999999999,0.08648,2.3522,2100.738,5873.7719,3.557348,4.920859,3.013213,2.721691,1.654964,0.759157,1.310553,5.542982,0.332695,0.285266,1.647518,-0.766895,1.833194,0.726903,-0.592459,-0.989384,6.1e-05,9.5e-05,5.2e-05,5.8e-05,3.9e-05,3.1e-05,3.7e-05,-0.000194,0.611626809314034,0.4959880427942102,0.5149465072372561,0.591095028319698,0.525173064820642,0.6505663939584645,0.6499370673379484,0.38231592196349906,0.375910,-0.508359,-0.170057,-0.277936,-0.195175,0.153358,0.131959,-0.213580,0.743418,-1.002180,-0.147063,-0.251868,0.094585,-0.127030,0.132687,0.544049,0.32420,-0.51816,-0.26333,-0.30996,-0.19246,-0.07503,-0.03404,-0.31665,1.99880,1.99974,1.99903,1.99898,1.99906,1.99900,1.99902,1.99943,3.65476,6.50670,4.25004,4.29983,4.18054,4.06192,4.02041,4.30325,0.02223,0.01171,0.01426,0.01115,0.01286,0.01411,0.01461,0.01396,5.67580,8.51816,6.26333,6.30996,6.19246,6.07503,6.03404,6.31665,39.8502,233.9707,76.8158,90.1527,65.8737,68.418,61.5114,137.3561,123.4825,82.3705,133.8008,117.6836,142.7845,190.1381,195.6013,65.4534,0.380606,-0.465084,-0.070402,-0.133630,-0.086666,0.169593,0.130565,0.289222,0.36874,-0.45683,-0.33904,-0.28341,-0.22142,-0.04133,-0.04157,-0.32504,1.99880,1.99975,1.99905,1.99899,1.99907,1.99902,1.99903,1.99943,3.60983,6.44528,4.32258,4.27141,4.20705,4.02682,4.02665,4.31144,0.02262,0.01179,0.01741,0.01301,0.01529,0.01549,0.01588,0.01417,5.63126,8.45683,6.33904,6.28341,6.22142,6.04133,6.04157,6.32504,295.49,276.87,225.0,218.7,212.64,207.05,202.18,195.66,190.74,189.04,0.041,0.0175,1.1165,0.0818,0.4869,0.0021,0.1106,0.0063,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,O,C,C,C,C,C,C
